Species_original,Adult.body.mass,Body.mass.in.juveniles,Snout.to.vent.length.in.males,Snout.to.vent.length.in.females,Adult.snout.to.vent.length,Total.length.in.males,Total.lenght.in.females,Adult.total.length,Carnivorous,Insectivorous,Moluscivorous,Cannibalism,Herbivorous,Detritivorous,Species,plant,animal,diet.eamphib,Body_mass_g
Alytes cisternasii,5.02,NA,36.75,38.38,37.56,37.75,39.83,37.56,1,1,1,0,0,0,Alytes cisternasii,0,3,carnivore,5.02
Alytes dickhilleni,NA,NA,44.7,NA,47.17,NA,NA,47.17,1,1,NA,NA,NA,NA,Alytes dickhilleni,0,2,carnivore,7.194769495
Alytes muletensis,2.31,NA,34.7,35.65,35.18,NA,NA,35.18,1,1,NA,NA,NA,NA,Alytes muletensis,0,2,carnivore,2.31
Alytes obstetricans,11.7,3.5,45.05,49.57,47.31,46.15,51.6,47.31,1,1,1,0,0,0,Alytes obstetricans,0,3,carnivore,11.7
Anaxyrus americanus,60,NA,62.87,76.89,69.88,64.56,76.89,69.88,1,1,1,0,0,0,Anaxyrus americanus,0,3,carnivore,60
Atylodes genei,3.92,NA,53.29,49,51.15,NA,NA,98.24,NA,NA,NA,1,NA,NA,Speleomantes genei,0,1,carnivore,3.92
Bombina bombina,3.07,0.87,38.89,40,39.44,36.6,36.8,39.44,1,1,1,0,0,0,Bombina bombina,0,3,carnivore,3.07
Bombina pachypus,NA,NA,45.75,45.25,45.5,NA,NA,45.5,NA,NA,NA,NA,NA,NA,Bombina pachypus,0,0,NA,6.434566696
Bombina variegata,6.32,NA,45.08,44.34,44.71,NA,NA,44.71,1,1,1,0,0,0,Bombina variegata,0,3,carnivore,6.32
Bufo bufo,76.54,NA,66.11,88.46,77.28,62.73,83.17,77.28,1,1,1,0,0,0,Bufo bufo,0,3,carnivore,76.54
Bufo mauritanicus,NA,NA,132,150,141,NA,NA,141,1,1,0,0,0,0,Sclerophrys mauritanica,0,2,carnivore,213.9344924
Calotriton arnoldi,NA,NA,58.95,58.45,58.7,104.6,104.6,103.95,1,1,0,0,0,0,Calotriton arnoldi,0,2,carnivore,14.16579125
Calotriton asper,6.62,1.8,64.97,61.67,63.32,112.93,121.01,116.7,1,1,1,0,0,0,Calotriton asper,0,3,carnivore,6.62
Chioglossa lusitanica,2,NA,45.09,45.94,45.51,156,164,159,1,1,1,0,0,0,Chioglossa lusitanica,0,3,carnivore,2
Discoglossus galganoi,18.5,NA,54.85,49.2,52.03,50.5,46.5,52.03,1,1,1,1,0,0,Discoglossus galganoi,0,4,carnivore,18.5
Discoglossus jeanneae,NA,NA,39.5,40.7,40.1,NA,NA,40.1,1,1,1,0,0,0,Discoglossus jeanneae,0,3,carnivore,4.35052097
Discoglossus montalentii,NA,NA,NA,NA,60,NA,NA,60,1,1,0,0,0,0,Discoglossus montalentii,0,2,carnivore,15.1604668
Discoglossus pictus,15.85,NA,56.49,47.86,52.18,NA,NA,52.18,1,1,1,1,0,0,Discoglossus pictus,0,4,carnivore,15.85
Discoglossus sardus,NA,NA,54.6,55.5,55.05,NA,NA,55.05,1,1,0,1,0,0,Discoglossus sardus,0,3,carnivore,11.6109081
Epidalea calamita,50.22,NA,59.03,67.13,63.08,72.88,72.75,63.08,1,1,1,0,0,0,Epidalea calamita,0,3,carnivore,50.22
Euproctus montanus,2.5,NA,56,58,57,NA,NA,116.5,1,1,1,0,0,0,Euproctus montanus,0,3,carnivore,2.5
Euproctus platycephalus,4,NA,59.85,43.55,51.7,127,112,120,1,1,1,0,0,0,Euproctus platycephalus,0,3,carnivore,4
Hyla arborea,6.04,NA,41.19,44.03,42.61,43.07,44.35,42.61,1,1,1,0,0,0,Hyla arborea,0,3,carnivore,6.04
Hyla intermedia,6.28,NA,38.03,43.93,40.98,NA,NA,40.98,1,1,1,0,0,0,Hyla intermedia,0,3,carnivore,6.28
Hyla meridionalis,3.11,NA,38.59,39.45,39.02,NA,NA,39.02,1,1,1,0,1,0,Hyla meridionalis,1,3,omnivore,3.11
Hyla sarda,3.18,NA,NA,NA,35.6,NA,NA,35.6,1,1,1,0,0,0,Hyla sarda,0,3,carnivore,3.18
Lissotriton boscai,1.77,NA,32.18,38.12,35.15,66.44,77.2,72.49,1,1,1,1,1,1,Lissotriton boscai,2,4,omnivore,1.77
Lissotriton helveticus,1.3,NA,34.5,39.64,37.07,72,76,77.24,1,1,1,1,0,0,Lissotriton helveticus,0,4,carnivore,1.3
Lissotriton italicus,0.98,NA,NA,NA,NA,NA,80,67.28,1,1,1,0,0,0,Lissotriton italicus,0,3,carnivore,0.98
Lissotriton montandoni,2.15,NA,38.79,45.04,41.91,75,100,83.85,1,1,1,1,0,0,Lissotriton montandoni,0,4,carnivore,2.15
Lissotriton vulgaris,2.68,NA,39.98,41.38,40.68,72,76,84.23,1,1,1,1,0,0,Lissotriton vulgaris,0,4,carnivore,2.68
Lithobates catesbeianus,307.23,26.31,134.74,135.53,135.14,105.3,113.2,135.14,1,1,1,1,0,0,Lithobates catesbeianus,0,4,carnivore,307.23
Lithobates sylvaticus,14.4,NA,53.04,62.32,57.68,46.05,52.55,57.68,0,1,0,0,0,0,Lithobates sylvaticus,0,1,carnivore,14.4
Lyciasalamandra helverseni,NA,NA,NA,NA,NA,NA,NA,140,1,1,1,0,0,0,Lyciasalamandra helverseni,0,3,carnivore,NA
Lyciasalamandra luschani,2,2,62.83,61.34,62.08,126,129,118.65,1,1,1,0,0,0,Lyciasalamandra luschani,0,3,carnivore,2
Mesotriton alpestris,2.96,NA,45.59,53.84,49.72,92,120,95.06,1,1,1,1,0,0,Ichthyosaura alpestris,0,4,carnivore,2.96
Pelobates cultripes,21.6,NA,65.9,70.18,68.04,70,80,68.04,1,1,1,0,0,0,Pelobates cultripes,0,3,carnivore,21.6
Pelobates fuscus,21.3,NA,48.91,57.13,53.02,45.87,53.89,53.02,1,1,1,0,0,0,Pelobates fuscus,0,3,carnivore,21.3
Pelobates syriacus,NA,NA,NA,NA,90,NA,NA,90,1,1,1,0,0,0,Pelobates syriacus,0,3,carnivore,53.24064329
Pelodytes ibericus,3.98,NA,35.17,40.72,37.95,NA,NA,37.95,1,1,1,0,0,0,Pelodytes ibericus,0,3,carnivore,3.98
Pelodytes punctatus,3.03,0.4,36.67,43.31,45.88,36.32,43.31,45.88,1,1,1,0,0,0,Pelodytes punctatus,0,3,carnivore,3.03
Pelophylax bedriagae,NA,NA,58.8,61.7,60.25,NA,NA,60.25,1,1,1,1,0,0,Pelophylax bedriagae,0,4,carnivore,15.35701982
Pelophylax bergeri,NA,NA,50,57.5,53.75,NA,NA,53.75,1,1,1,0,0,0,Pelophylax bergeri,0,3,carnivore,10.78232692
Pelophylax cerigensis,NA,NA,NA,NA,62.25,NA,NA,62.25,NA,NA,NA,NA,NA,NA,Pelophylax cerigensis,0,0,NA,16.99196967
Pelophylax cretensis,NA,NA,NA,NA,72.3,NA,NA,72.3,NA,NA,NA,NA,NA,NA,Pelophylax cretensis,0,0,NA,27.01534046
Pelophylax epeiroticus,48.8,NA,72.42,83.98,78.2,74.4,83,78.2,NA,NA,NA,NA,NA,NA,Pelophylax epeiroticus,0,0,NA,48.8
Pelophylax esculentus,36.9,1.3,79.71,97.88,88.79,NA,NA,88.79,1,1,1,0,0,0,Pelophylax lessonae,0,3,carnivore,36.9
Pelophylax grafi,NA,NA,NA,NA,92.5,NA,NA,92.5,0,1,0,0,0,0,NA,0,1,carnivore,57.95715892
Pelophylax hispanicus,NA,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0,0,NA,73.79042301
Pelophylax kurtmuelleri,NA,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,Pelophylax kurtmuelleri,0,0,NA,73.79042301
Pelophylax lessonae,30.8,1.34,54.45,60.25,57.35,NA,NA,57.35,1,1,1,0,0,0,Pelophylax lessonae,0,3,carnivore,30.8
Pelophylax perezi,21.56,NA,50.33,61.6,55.96,52,65.6,55.96,1,1,1,0,0,0,Pelophylax perezi,0,3,carnivore,21.56
Pelophylax ridibundus,35.53,NA,72.24,87.88,80.06,NA,NA,80.06,1,1,1,1,0,0,Pelophylax ridibundus,0,4,carnivore,35.53
Pelophylax shqipericus,NA,NA,70.6,73.8,72.2,70.6,73.8,72.2,NA,NA,NA,NA,NA,NA,Pelophylax shqipericus,0,0,NA,26.89974965
Pleurodeles waltl,25.2,NA,87.4,82.25,84.83,78.22,142,218.3,1,1,1,0,0,0,Pleurodeles waltl,0,3,carnivore,25.2
Proteus anguinus,13.2,3.65,NA,NA,169.9,NA,NA,257,1,1,1,0,0,0,Proteus anguinus,0,3,carnivore,13.2
Pseudepidalea viridis,33.18,NA,69.95,78.77,74.36,NA,NA,74.36,1,1,1,1,0,0,Bufotes viridis,0,4,carnivore,33.18
Rana arvalis,10.8,3.16,57.89,56.48,NA,NA,NA,57.19,1,1,1,0,0,0,Rana arvalis,0,3,carnivore,10.8
Rana dalmatina,20.99,0.43,49.17,64.57,56.87,55.65,64.9,56.87,1,1,1,0,0,0,Rana dalmatina,0,3,carnivore,20.99
Rana graeca,NA,NA,51.75,58,54.88,NA,NA,54.88,1,1,1,0,0,0,Rana graeca,0,3,carnivore,11.50018668
Rana iberica,6.03,NA,37.71,45.09,41.4,39.13,46.14,41.4,1,1,1,0,0,0,Rana iberica,0,3,carnivore,6.03
Rana italica,NA,NA,NA,NA,60,NA,NA,60,NA,NA,NA,NA,NA,NA,Rana italica,0,0,NA,15.1604668
Rana latastei,NA,NA,42.42,45.44,43.93,NA,NA,43.93,NA,NA,NA,NA,NA,NA,Rana latastei,0,0,NA,5.77130741
Rana pyrenaica,NA,NA,38.5,43,40.75,NA,NA,40.75,1,1,1,0,0,0,Rana pyrenaica,0,3,carnivore,4.572727751
Rana temporaria,42.24,0.43,69.45,70.83,70.14,67.57,72.39,70.14,1,1,1,0,0,0,Rana temporaria,0,3,carnivore,42.24
Salamandra algira,NA,NA,NA,NA,80.2,NA,NA,188.75,NA,NA,NA,NA,NA,NA,Salamandra algira,0,0,NA,37.25050741
Salamandra atra,8.2,NA,66.95,71.23,69.09,144,151,115.15,NA,NA,NA,NA,NA,NA,Salamandra atra,0,0,NA,8.2
Salamandra corsica,NA,NA,NA,NA,NA,180,190,200,1,1,1,0,0,0,Salamandra corsica,0,3,carnivore,NA
Salamandra lanzai,12.2,4.8,82.55,83.68,83.11,NA,NA,138,1,1,1,0,0,0,Salamandra lanzai,0,3,carnivore,12.2
Salamandra salamandra,35.23,1.16,129.75,155.25,142.5,NA,NA,175.25,NA,NA,NA,NA,NA,NA,Salamandra salamandra,0,0,NA,35.23
Salamandrina perspicillata,NA,NA,31,40.33,35.66,NA,NA,92.95,NA,NA,NA,NA,NA,NA,Salamandrina perspicillata,0,0,NA,3.024529242
Salamandrina terdigitata,NA,NA,NA,NA,33.31,90,110,94,NA,NA,NA,NA,NA,NA,Salamandrina terdigitata,0,0,NA,2.448703557
Speleomantes ambrosii,2.26,NA,53.31,55.93,54.62,NA,NA,125,1,1,1,1,0,0,Speleomantes ambrosii,0,4,carnivore,2.26
Speleomantes flavus,NA,NA,60,63.92,61.96,NA,NA,112.5,1,1,1,1,0,0,Speleomantes flavus,0,4,carnivore,16.74793032
Speleomantes imperialis,3.92,NA,60.85,62.16,61.51,NA,NA,121.61,1,1,1,1,0,0,Speleomantes imperialis,0,4,carnivore,3.92
Speleomantes italicus,2.88,NA,52.2,56.23,54.22,NA,NA,94.61,1,1,1,1,0,0,Speleomantes italicus,0,4,carnivore,2.88
Speleomantes sarrabusensis,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,Speleomantes sarrabusensis,0,4,carnivore,NA
Speleomantes strinatii,NA,NA,58.48,63.59,61.03,115,125,119.5,1,1,1,1,0,0,Speleomantes strinatii,0,4,carnivore,15.98134622
Speleomantes supramontis,5.08,NA,60.47,63.6,62.04,NA,NA,116.59,1,1,1,1,0,0,Speleomantes supramontis,0,4,carnivore,5.08
Triturus carnifex,8.84,NA,70.19,72.28,71.24,NA,NA,144.42,1,1,1,1,0,0,Triturus carnifex,0,4,carnivore,8.84
Triturus cristatus,7.34,4.8,64.33,69.28,66.81,140,180,140.05,1,1,1,1,0,0,Triturus cristatus,0,4,carnivore,7.34
Triturus dobrogicus,4.7,NA,62.99,66.69,64.84,120,130,132.08,NA,NA,NA,NA,NA,NA,Triturus dobrogicus,0,0,NA,4.7
Triturus karelinii,NA,NA,68.84,71.12,69.98,109.21,122.33,136.89,1,1,1,0,0,0,Triturus karelinii,0,3,carnivore,24.4190779
Triturus marmoratus,8.91,NA,65.74,72.43,69.08,132,146,138.3,1,1,1,0,0,0,Triturus marmoratus,0,3,carnivore,8.91
Triturus pygmaeus,2.94,NA,49.49,43.9,46.7,NA,NA,101.07,1,1,1,1,0,0,Triturus pygmaeus,0,4,carnivore,2.94
Xenopus laevis,76.21,NA,62.49,73.3,67.9,59.9,63.3,67.9,1,1,1,1,0,0,Xenopus laevis,0,4,carnivore,76.21
