ID,Species_ID,Species,Min,Max,Mean,Sample_size,Trait,Who,Country_ID,Country_Specifications,Altitude (m),Latitude,Longitude,Ref_ID
250,13,Chalcides bedriagai,,,2.19,,mass (g),adult females,55,Eastern,,,,103
552,13,Chalcides bedriagai,4.2,9.3,7.02,31,mass (g),adult females,55,,,,,21
553,13,Chalcides bedriagai,5.1,9.5,6.51,28,mass (g),adult males,55,,,,,21
518,16,Chalcides striatus,,,7.21,50,mass (g),adult females,55,South West,,,,112
519,16,Chalcides striatus,,,5.44,65,mass (g),adult males,55,South West,,,,112
636,53,Archaeolacerta bedriagae,,,8.42,5,mass (g),adult females,61,Corsica,,,,144
637,53,Archaeolacerta bedriagae,,,10.3,,mass (g),adult males,61,Corsica,,,,144
58,62,Iberolacerta horvathi,2.5,5.5,4.01,23,mass (g),adult females,43,Ko?evsko region,,45?28’37’’N,14?48’34’’E,125
59,62,Iberolacerta horvathi,2.8,5.3,4.25,19,mass (g),adult males,43,Ko?evsko region,,45?28’37’’N,14?48’34’’E,125
725,62,Iberolacerta horvathi,1.972,4.721,3.022,16,mass (g),adult females,43,Northern,1033,46°N,13°E,186
359,65,Iberolacerta monticola,,,6.13,46,mass (g),adult males,55,Northern,100,,,117
360,65,Iberolacerta monticola,,,5.82,49,mass (g),adult males,55,Northern,1450,,,117
374,65,Iberolacerta monticola,3.5,6.9,4.92,54,mass (g),adult females,55,Northern (A Coruña),20-150,43°15'N,8°8'W,49
376,65,Iberolacerta monticola,0.245,0.611,0.406,114,mass (g),adult females,55,Northern (A Coruña),20-150,43°15'N,8°8'W,49
377,65,Iberolacerta monticola,0.288,0.625,0.41,134,mass (g),adult males,55,Northern (A Coruña),20-150,43°15'N,8°8'W,49
412,65,Iberolacerta monticola,4.4,5.9,5,12,mass (g),adult females,55,Northern (Asturias),1900-2000,,,118
264,66,Iberolacerta cyreni,,,7.5,51,mass (g),adult females,55,Guadarrama,,,,123
265,66,Iberolacerta cyreni,,,7.35,48,mass (g),adult males,55,Guadarrama,,,,123
270,66,Iberolacerta cyreni,,,7.1,10,mass (g),adult females,55,Guadarrama,,,,124
271,66,Iberolacerta cyreni,,,9.5,10,mass (g),adult males,55,Guadarrama,,,,124
222,76,Lacerta schreiberi,17,40,27.25,12,mass (g),adult females,55,Central system,,,,173
223,76,Lacerta schreiberi,15.3,30,22.87,8,mass (g),adult males,55,Central system,,,,173
229,76,Lacerta schreiberi,13.75,41,25.665,26,mass (g),adult females,55,Central system,,,,175
327,76,Lacerta schreiberi,18,51,30.23,29,mass (g),adult females,55,North West,,,,173
328,76,Lacerta schreiberi,11.6,35,23.3,28,mass (g),adult males,55,North West,,,,173
659,76,Lacerta schreiberi,18.5,23.4,20.47,11,mass (g),adult females,61,Western,,,,178
660,76,Lacerta schreiberi,22.3,36.5,29.49,13,mass (g),adult males,61,Western,,,,178
661,76,Lacerta schreiberi,13.3,24.4,18.52,11,mass (g),adults,61,Western,,,,178
47,81,Zootoca vivipara,3,8.1,5.5,11,mass (g),adult females,42,Balkan,,,,165
48,81,Zootoca vivipara,3,8,5.6,13,mass (g),adult males,42,Balkan,,,,165
147,81,Zootoca vivipara,3.37,7.7,5.45,49,mass (g),adult females,11,Northern,870,,,167
148,81,Zootoca vivipara,4.7,7.5,6.23,8,mass (g),adult females,11,Northern,830,,,167
149,81,Zootoca vivipara,1,3.7,2.34,34,mass (g),adult males,11,Northern,870,,,167
150,81,Zootoca vivipara,1.7,2.9,2.48,4,mass (g),adult males,11,Northern,830,,,167
569,102,Podarcis bocagei,2.1,3.2,2.6,9,mass (g),adult females,55,,,,,118
238,103,Podarcis carbonelli,,,2.41,,mass (g),adult females,55,Central system,,,,61
239,103,Podarcis carbonelli,,,2.63,,mass (g),adult males,55,Central system,,,,61
132,108,Podarcis hispanicus,,,4.06,108,mass (g),adult males,55,Central,494-1750,40?47N,4?03W,151
62,113,Podarcis muralis,2.5,5.5,4.55,23,mass (g),adult females,43,Ko?evsko region,,45?28’37’’N,14?48’34’’E,135
63,113,Podarcis muralis,1.5,6.3,4.26,25,mass (g),adult males,43,Ko?evsko region,,45?28’37’’N,14?48’34’’E,135
433,113,Podarcis muralis,2.5,5.03,3.7,106,mass (g),adult females,55,Northern (Asturias),,,,129
538,117,Podarcis siculus,,,3.13,7,mass (g),adult females,55,Southern,,,,61
539,117,Podarcis siculus,,,3.02,13,mass (g),adult males,55,Southern,,,,61
640,117,Podarcis siculus,,,5.94,5,mass (g),adult females,61,Corsica,,,,144
641,117,Podarcis siculus,,,7.57,10,mass (g),adult males,61,Corsica,,,,144
673,117,Podarcis siculus,,,6.08,18,mass (g),adult females,61,,,,,146
674,117,Podarcis siculus,,,9.07,23,mass (g),adult males,61,,,,,146
2,118,Podarcis tauricus,2.7,4.5,3.6,10,mass (g),adult females,38,"Ionian Islands, Ithaki",,,,156
9,118,Podarcis tauricus,2.5,4.6,3.6,12,mass (g),adult females,38,"Ionian Islands, Kefalonia",,,,156
16,118,Podarcis tauricus,2.6,4.2,3.4,16,mass (g),adult females,38,"Ionian Islands, Kerkyra",,,,156
23,118,Podarcis tauricus,2.7,5.6,3.6,23,mass (g),adult females,38,"Ionian Islands, Zakynthos",,,,156
29,118,Podarcis tauricus,3.7,7.1,5.5,8,mass (g),adult females,38,Peloponnese,,,,156
187,118,Podarcis tauricus,2.7,5.2,4.1,7,mass (g),adult females,38,Central,,,,156
644,119,Podarcis tiliguerta,,,4.22,4,mass (g),adult females,61,Corsica,,,,144
645,119,Podarcis tiliguerta,,,4.99,10,mass (g),adult males,61,Corsica,,,,144
