Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species
M254,14.8,NA,Mammalia,Eulipotyphla,Soricidae,Sorex raddei
M255,7,NA,Mammalia,Eulipotyphla,Soricidae,Sorex samniticus
M256,8,NA,Mammalia,Eulipotyphla,Soricidae,Sorex satunini
M257,10,NA,Mammalia,Eulipotyphla,Soricidae,Sorex tundrensis
M258,7,NA,Mammalia,Eulipotyphla,Soricidae,Sorex volnuchini
M259,250,NA,Mammalia,Rodentia,Spalacidae,Spalax arenarius
M260,252,NA,Mammalia,Rodentia,Spalacidae,Spalax ehrenbergi
M261,603,NA,Mammalia,Rodentia,Spalacidae,Spalax giganteus
M262,450,NA,Mammalia,Rodentia,Spalacidae,Spalax graecus
M263,338,NA,Mammalia,Rodentia,Spalacidae,Spalax leucodon
M264,570,NA,Mammalia,Rodentia,Spalacidae,Spalax microphthalmus
M265,350,NA,Mammalia,Rodentia,Spalacidae,Spalax nehringi
M266,570,NA,Mammalia,Rodentia,Spalacidae,Spalax uralensis
M267,550,NA,Mammalia,Rodentia,Spalacidae,Spalax zemni
M268,350,NA,Mammalia,Rodentia,Sciuridae,Spermophilus citellus
M269,900,NA,Mammalia,Rodentia,Sciuridae,Spermophilus fulvus
M270,500,NA,Mammalia,Rodentia,Sciuridae,Spermophilus major
M271,460,NA,Mammalia,Rodentia,Sciuridae,Spermophilus musicus
M272,460,NA,Mammalia,Rodentia,Sciuridae,Spermophilus pygmaeus
M273,500,NA,Mammalia,Rodentia,Sciuridae,Spermophilus suslicus
M274,490,NA,Mammalia,Rodentia,Sciuridae,Spermophilus taurensis
M275,490,NA,Mammalia,Rodentia,Sciuridae,Spermophilus xanthoprymnus
M276,55,NA,Mammalia,Rodentia,Dipodidae,Stylodipus telum
M277,2.7,NA,Mammalia,Eulipotyphla,Soricidae,Suncus etruscus
M278,150000,NA,Mammalia,Cetartiodactyla,Suidae,Sus scrofa
M279,55,NA,Mammalia,Chiroptera,Molossidae,Tadarida teniotis
M280,120,NA,Mammalia,Eulipotyphla,Talpidae,Talpa caeca
M281,91,NA,Mammalia,Eulipotyphla,Talpidae,Talpa caucasica
M282,120,NA,Mammalia,Eulipotyphla,Talpidae,Talpa davidiana
M283,130,NA,Mammalia,Eulipotyphla,Talpidae,Talpa europaea
M284,53,NA,Mammalia,Eulipotyphla,Talpidae,Talpa levantis
M285,66,NA,Mammalia,Eulipotyphla,Talpidae,Talpa occidentalis
M286,134,NA,Mammalia,Eulipotyphla,Talpidae,Talpa romana
M287,71.12,NA,Mammalia,Eulipotyphla,Talpidae,Talpa stankovici
M288,150,NA,Mammalia,Rodentia,Sciuridae,Tamias sibiricus
M289,270,NA,Mammalia,Rodentia,Muridae,Tatera indica
M290,315000,NA,Mammalia,Carnivora,Ursidae,Ursus arctos
M291,8.00E+05,NA,Mammalia,Carnivora,Ursidae,Ursus maritimus
M292,23,NA,Mammalia,Chiroptera,Vespertilionidae,Vespertilio murinus
M293,715,NA,Mammalia,Carnivora,Mustelidae,Vormela peregusna
M294,3200,NA,Mammalia,Carnivora,Canidae,Vulpes corsac
M295,14000,NA,Mammalia,Carnivora,Canidae,Vulpes vulpes
R1,NA,60,Reptilia,Squamata,Scincidae,Ablepharus bivittatus
R2,NA,48,Reptilia,Squamata,Scincidae,Ablepharus budaki
R3,NA,52,Reptilia,Squamata,Scincidae,Ablepharus chernovi
R4,NA,52,Reptilia,Squamata,Scincidae,Ablepharus kitaibelii
R5,NA,NA,Reptilia,Squamata,Scincidae,Ablepharus pannonicus
R229,NA,79,Reptilia,Squamata,Lacertidae,Acanthodactylus boskianus
R6,NA,80,Reptilia,Squamata,Lacertidae,Acanthodactylus erythrurus
R238,NA,95,Reptilia,Squamata,Scincidae,Acanthodactylus grandis
R237,NA,NA,Reptilia,Squamata,Scincidae,Acanthodactylus harranensis
R7,NA,93,Reptilia,Squamata,Lacertidae,Acanthodactylus schreiberi
R8,NA,44,Reptilia,Squamata,Lacertidae,Algyroides fitzingeri
R9,NA,53,Reptilia,Squamata,Lacertidae,Algyroides marchi
R10,NA,50,Reptilia,Squamata,Lacertidae,Algyroides moreoticus
R11,NA,68,Reptilia,Squamata,Lacertidae,Algyroides nigropunctatus
R12,NA,43,Reptilia,Squamata,Gekkonidae,Alsophylax pipiens
R116,NA,75,Reptilia,Squamata,Lacertidae,Anatololacerta anatolica
R120,NA,230,Reptilia,Squamata,Lacertidae,Anatololacerta danfordi
R127,NA,65,Reptilia,Squamata,Lacertidae,Anatololacerta oertzeni
R13,NA,300,Reptilia,Squamata,Anguidae,Anguis cephallonica
R14,NA,290,Reptilia,Squamata,Anguidae,Anguis fragilis
R118,NA,250,Reptilia,Squamata,Lacertidae,Apathya cappadocica
R15,NA,80,Reptilia,Squamata,Lacertidae,Archaeolacerta bedriagae
R16,NA,100,Reptilia,Squamata,Gekkonidae,Asaccus elisae
R17,NA,254,Reptilia,Squamata,Amphisbaenidae,Blanus cinereus
R18,NA,200,Reptilia,Squamata,Amphisbaenidae,Blanus strauchi
R19,NA,98,Reptilia,Squamata,Scincidae,Chalcides bedriagai
R20,NA,99,Reptilia,Squamata,Scincidae,Chalcides bistriatus
R21,NA,185,Reptilia,Squamata,Scincidae,Chalcides chalcides
R22,NA,160,Reptilia,Squamata,Scincidae,Chalcides ocellatus
R23,NA,99,Reptilia,Squamata,Scincidae,Chalcides sexlineatus
R24,NA,125,Reptilia,Squamata,Scincidae,Chalcides simonyi
R25,NA,210,Reptilia,Squamata,Scincidae,Chalcides striatus
R26,NA,91,Reptilia,Squamata,Scincidae,Chalcides viridanus
R220,NA,190,Reptilia,Squamata,Chamaeleonidae,Chamaeleo africanus
R27,NA,150,Reptilia,Squamata,Chamaeleonidae,Chamaeleo chamaeleon
R28,NA,1000,Reptilia,Squamata,Colubridae,Coronella austriaca
R29,NA,950,Reptilia,Squamata,Colubridae,Coronella girondica
R30,NA,75,Reptilia,Squamata,Gekkonidae,Cyrtopodion caspium
R31,NA,120,Reptilia,Squamata,Gekkonidae,Cyrtopodion heterocercum
R32,NA,56,Reptilia,Squamata,Gekkonidae,Cyrtopodion kotschyi
R33,NA,NA,Reptilia,Squamata,Gekkonidae,Cyrtopodion russowii
R34,NA,55,Reptilia,Squamata,Gekkonidae,Cyrtopodion scabrum
R128,NA,65,Reptilia,Squamata,Lacertidae,Dalmatolacerta oxycephala
R35,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia alpina
R36,NA,180,Reptilia,Squamata,Lacertidae,Darevskia armeniaca
R37,NA,190,Reptilia,Squamata,Lacertidae,Darevskia bendimahiensis
R38,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia brauneri
R39,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia caucasica
R188,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia chlorogaster
R40,NA,200,Reptilia,Squamata,Lacertidae,Darevskia clarkorum
R41,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia daghestanica
R42,NA,64,Reptilia,Squamata,Lacertidae,Darevskia dahli
R43,NA,160,Reptilia,Squamata,Lacertidae,Darevskia derjugini
R44,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia dryada
R45,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia lindholmi
R46,NA,200,Reptilia,Squamata,Lacertidae,Darevskia mixta
R47,NA,64.5,Reptilia,Squamata,Lacertidae,Darevskia nairensis
R48,NA,180,Reptilia,Squamata,Lacertidae,Darevskia parvula
R49,NA,67,Reptilia,Squamata,Lacertidae,Darevskia portschinskii
R50,NA,130,Reptilia,Squamata,Lacertidae,Darevskia praticola
R51,NA,210,Reptilia,Squamata,Lacertidae,Darevskia raddei
R52,NA,60,Reptilia,Squamata,Lacertidae,Darevskia rostombekovi
R53,NA,260,Reptilia,Squamata,Lacertidae,Darevskia rudis
R54,NA,160,Reptilia,Squamata,Lacertidae,Darevskia sapphirina
R55,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia saxicola
R56,NA,200,Reptilia,Squamata,Lacertidae,Darevskia unisexualis
R57,NA,180,Reptilia,Squamata,Lacertidae,Darevskia uzzelli
R58,NA,80,Reptilia,Squamata,Lacertidae,Darevskia valentini
R126,NA,64,Reptilia,Squamata,Lacertidae,Dinarolacerta montenegrina
R125,NA,73,Reptilia,Squamata,Lacertidae,Dinarolacerta mosorensis
R219,NA,1200,Reptilia,Squamata,Colubridae,Dolichophis caspius
R104,NA,1165,Reptilia,Squamata,Colubridae,Dolichophis cypriensis
R221,NA,3000,Reptilia,Squamata,Colubridae,Dolichophis jugularis
R225,NA,1600,Reptilia,Squamata,Colubridae,Dolichophis schmidti
R59,NA,NA,Reptilia,Squamata,Colubridae,Eirenis aurolineatus
R60,NA,NA,Reptilia,Squamata,Colubridae,Eirenis barani
R62,NA,330,Reptilia,Squamata,Colubridae,Eirenis coronella
R63,NA,750,Reptilia,Squamata,Colubridae,Eirenis decemlineatus
R64,NA,NA,Reptilia,Squamata,Colubridae,Eirenis eiselti
R65,NA,NA,Reptilia,Squamata,Colubridae,Eirenis hakkariensis
R66,NA,462,Reptilia,Squamata,Colubridae,Eirenis levantinus
R67,NA,316,Reptilia,Squamata,Colubridae,Eirenis lineomaculatus
R73,NA,NA,Reptilia,Squamata,Colubridae,Eirenis medus
R68,NA,600,Reptilia,Squamata,Colubridae,Eirenis modestus
R69,NA,500,Reptilia,Squamata,Colubridae,Eirenis punctatolineatus
R70,NA,381,Reptilia,Squamata,Colubridae,Eirenis rothii
R71,NA,NA,Reptilia,Squamata,Colubridae,Eirenis thospitis
R72,NA,1000,Reptilia,Squamata,Colubridae,Elaphe dione
R77,NA,1600,Reptilia,Squamata,Colubridae,Elaphe quatuorlineata
R226,NA,1400,Reptilia,Squamata,Colubridae,Elaphe sauromates
R80,NA,172,Reptilia,Testudines,Emydidae,Emys orbicularis
R198,NA,145,Reptilia,Testudines,Emydidae,Emys trinacris
R81,NA,85,Reptilia,Squamata,Lacertidae,Eremias arguta
R82,NA,NA,Reptilia,Squamata,Lacertidae,Eremias intermedia
R239,NA,98,Reptilia,Squamata,Lacertidae,Eremias persica
R83,NA,150,Reptilia,Squamata,Lacertidae,Eremias pleskei
R84,NA,NA,Reptilia,Squamata,Lacertidae,Eremias scripta
R85,NA,200,Reptilia,Squamata,Lacertidae,Eremias strauchi
R86,NA,200,Reptilia,Squamata,Lacertidae,Eremias suphani
R87,NA,NA,Reptilia,Squamata,Lacertidae,Eremias velox
R88,NA,840,Reptilia,Squamata,Boidae,Eryx jaculus
R89,NA,NA,Reptilia,Squamata,Boidae,Eryx miliaris
R235,NA,151,Reptilia,Squamata,Gekkonidae,Eublepharis angramainyu
R90,NA,48,Reptilia,Squamata,Gekkonidae,Euleptes europaea
R91,NA,165,Reptilia,Squamata,Scincidae,Eumeces schneideri
R92,NA,102,Reptilia,Squamata,Lacertidae,Gallotia atlantica
R93,NA,NA,Reptilia,Squamata,Lacertidae,Gallotia auaritae
R94,NA,250,Reptilia,Squamata,Lacertidae,Gallotia bravoana
R95,NA,111,Reptilia,Squamata,Lacertidae,Gallotia caesaris
R96,NA,145,Reptilia,Squamata,Lacertidae,Gallotia galloti
R97,NA,150,Reptilia,Squamata,Lacertidae,Gallotia intermedia
R98,NA,236,Reptilia,Squamata,Lacertidae,Gallotia simonyi
R99,NA,280,Reptilia,Squamata,Lacertidae,Gallotia stehlini
R100,NA,NA,Reptilia,Squamata,Viperidae,Gloydius intermedius
R101,NA,80,Reptilia,Squamata,Lacertidae,Hellenolacerta graeca
R102,NA,60,Reptilia,Squamata,Gekkonidae,Hemidactylus turcicus
R223,NA,1145,Reptilia,Squamata,Colubridae,Hemorrhois algirus
R103,NA,1850,Reptilia,Squamata,Colubridae,Hemorrhois hippocrepis
R222,NA,1500,Reptilia,Squamata,Colubridae,Hemorrhois nummifer
R230,NA,1300,Reptilia,Squamata,Colubridae,Hemorrhois ravergieri
R105,NA,1280,Reptilia,Squamata,Colubridae,Hierophis gemonensis
R224,NA,1690,Reptilia,Squamata,Colubridae,Hierophis gyarosensis
R106,NA,1690,Reptilia,Squamata,Colubridae,Hierophis viridiflavus
R107,NA,67,Reptilia,Squamata,Lacertidae,Iberolacerta aranica
R108,NA,65,Reptilia,Squamata,Lacertidae,Iberolacerta aurelioi
R109,NA,65,Reptilia,Squamata,Lacertidae,Iberolacerta bonnali
R110,NA,91,Reptilia,Squamata,Lacertidae,Iberolacerta cyreni
R111,NA,85,Reptilia,Squamata,Lacertidae,Iberolacerta galani
R112,NA,71,Reptilia,Squamata,Lacertidae,Iberolacerta horvathi
R113,NA,68,Reptilia,Squamata,Lacertidae,Iberolacerta martinezricai
R114,NA,91,Reptilia,Squamata,Lacertidae,Iberolacerta monticola
R164,NA,75,Reptilia,Squamata,Lacertidae,Iranolacerta brandtii
R115,NA,99,Reptilia,Squamata,Lacertidae,Lacerta agilis
R117,NA,150,Reptilia,Squamata,Lacertidae,Lacerta bilineata
R124,NA,481,Reptilia,Squamata,Lacertidae,Lacerta media
R129,NA,NA,Reptilia,Squamata,Lacertidae,Lacerta pamphylica
R132,NA,120,Reptilia,Squamata,Lacertidae,Lacerta schreiberi
R133,NA,300,Reptilia,Squamata,Lacertidae,Lacerta strigata
R134,NA,190,Reptilia,Squamata,Lacertidae,Lacerta trilineata
R136,NA,160,Reptilia,Squamata,Lacertidae,Lacerta viridis
R138,NA,150,Reptilia,Squamata,Agamidae,Laudakia caucasia
R139,NA,210,Reptilia,Squamata,Agamidae,Laudakia stellio
R140,NA,280,Reptilia,Squamata,Leptotyphlopidae,Leptotyphlops macrorhynchus
R143,NA,598,Reptilia,Squamata,Colubridae,Macroprotodon brevis
R144,NA,600,Reptilia,Squamata,Colubridae,Macroprotodon cucullatus
R251,NA,660,Reptilia,Squamata,Colubridae,Macroprotodon mauritanicus
R145,NA,1500,Reptilia,Squamata,Viperidae,Macrovipera lebetina
R146,NA,1500,Reptilia,Squamata,Viperidae,Macrovipera schweizeri
R147,NA,2550,Reptilia,Squamata,Colubridae,Malpolon monspessulanus
R148,NA,250,Reptilia,Testudines,Geoemydidae,Mauremys caspica
R149,NA,250,Reptilia,Testudines,Geoemydidae,Mauremys leprosa
R150,NA,240,Reptilia,Testudines,Geoemydidae,Mauremys rivulata
R245,NA,55,Reptilia,Squamata,Lacertidae,Mesalina brevirostris
R151,NA,990,Reptilia,Squamata,Viperidae,Montivipera raddei
R152,NA,950,Reptilia,Squamata,Viperidae,Montivipera wagneri
R153,NA,1350,Reptilia,Squamata,Viperidae,Montivipera xanthina
R154,NA,930,Reptilia,Squamata,Colubridae,Natrix maura
R155,NA,2050,Reptilia,Squamata,Colubridae,Natrix natrix
R156,NA,1300,Reptilia,Squamata,Colubridae,Natrix tessellata
R157,NA,100,Reptilia,Squamata,Scincidae,Ophiomorus punctatissimus
R158,NA,55,Reptilia,Squamata,Lacertidae,Ophisops elegans
R130,NA,61,Reptilia,Squamata,Lacertidae,Parvilacerta parva
R119,NA,NA,Reptilia,Squamata,Lacertidae,Phoenicolacerta cyanisparsa
R122,NA,250,Reptilia,Squamata,Lacertidae,Phoenicolacerta laevis
R135,NA,75,Reptilia,Squamata,Lacertidae,Phoenicolacerta troodica
R159,NA,NA,Reptilia,Squamata,Agamidae,Phrynocephalus guttatus
R160,NA,NA,Reptilia,Squamata,Agamidae,Phrynocephalus helioscopus
R161,NA,110,Reptilia,Squamata,Agamidae,Phrynocephalus mystaceus
R162,NA,70,Reptilia,Squamata,Agamidae,Phrynocephalus persicus
R61,NA,1000,Reptilia,Squamata,Colubridae,Platyceps collaris
R163,NA,1300,Reptilia,Squamata,Colubridae,Platyceps najadum
R231,NA,1000,Reptilia,Squamata,Colubridae,Platyceps ventromaculatus
R165,NA,65,Reptilia,Squamata,Lacertidae,Podarcis atrata
R166,NA,65,Reptilia,Squamata,Lacertidae,Podarcis bocagei
R167,NA,58,Reptilia,Squamata,Lacertidae,Podarcis carbonelli
R168,NA,75,Reptilia,Squamata,Lacertidae,Podarcis erhardii
R169,NA,74,Reptilia,Squamata,Lacertidae,Podarcis filfolensis
R170,NA,60,Reptilia,Squamata,Lacertidae,Podarcis gaigeae
R171,NA,65,Reptilia,Squamata,Lacertidae,Podarcis hispanica
R172,NA,81,Reptilia,Squamata,Lacertidae,Podarcis lilfordi
R173,NA,65,Reptilia,Squamata,Lacertidae,Podarcis melisellensis
R174,NA,65,Reptilia,Squamata,Lacertidae,Podarcis milensis
R175,NA,75,Reptilia,Squamata,Lacertidae,Podarcis muralis
R176,NA,85,Reptilia,Squamata,Lacertidae,Podarcis peloponnesiaca
R177,NA,70,Reptilia,Squamata,Lacertidae,Podarcis pityusensis
R178,NA,84,Reptilia,Squamata,Lacertidae,Podarcis raffonei
R179,NA,90,Reptilia,Squamata,Lacertidae,Podarcis sicula
R180,NA,80,Reptilia,Squamata,Lacertidae,Podarcis taurica
R181,NA,65,Reptilia,Squamata,Lacertidae,Podarcis tiliguerta
R182,NA,60,Reptilia,Squamata,Lacertidae,Podarcis vaucheri
R183,NA,70,Reptilia,Squamata,Lacertidae,Podarcis wagleriana
R254,NA,75,NA,NA,NA,Podarcis cretendis
R253,NA,93,Reptilia,Squamata,Lacertidae,Psammodromus jeanneae
R185,NA,57,Reptilia,Squamata,Lacertidae,Psammodromus hispanicus
R247,NA,1080,Reptilia,Squamata,Viperidae,Pseudocerastes persicus
R232,NA,400,Reptilia,Squamata,Colubridae,Pseudocyclophis persicus
R186,NA,560,Reptilia,Squamata,Anguidae,Pseudopus apodus
R187,NA,700,Reptilia,Testudines,Trionychidae,Rafetus euphraticus
R78,NA,1600,Reptilia,Squamata,Colubridae,Rhinechis scalaris
R248,NA,NA,Reptilia,Squamata,Typhlopoidea,Rhinotyphlops episcopus
R249,NA,NA,Reptilia,Squamata,Colubridae,Rhynchocalamus barani
R233,NA,550,Reptilia,Squamata,Colubridae,Rhynchocalamus melanocephalus
R234,NA,1800,Reptilia,Squamata,Colubridae,Spalerosophis diadema
R228,NA,100,Reptilia,Squamata,Gekkonidae,Stenodactylus grandiceps
R189,NA,77,Reptilia,Squamata,Gekkonidae,Tarentola angustimentalis
R190,NA,75,Reptilia,Squamata,Gekkonidae,Tarentola bischoffi
R191,NA,75,Reptilia,Squamata,Gekkonidae,Tarentola boettgeri
R192,NA,84,Reptilia,Squamata,Gekkonidae,Tarentola delalandii
R193,NA,72,Reptilia,Squamata,Gekkonidae,Tarentola gomerensis
R194,NA,84,Reptilia,Squamata,Gekkonidae,Tarentola mauritanica
R121,NA,69,Reptilia,Squamata,Lacertidae,Teira dugesii
R195,NA,1300,Reptilia,Squamata,Colubridae,Telescopus fallax
R246,NA,600,Reptilia,Squamata,Colubridae,Telescopus nigriceps
R196,NA,300,Reptilia,Testudines,Testudinidae,Testudo graeca
R197,NA,200,Reptilia,Testudines,Testudinidae,Testudo hermanni
R199,NA,305,Reptilia,Testudines,Testudinidae,Testudo marginata
R123,NA,260,Reptilia,Squamata,Lacertidae,Timon lepidus
R131,NA,400,Reptilia,Squamata,Lacertidae,Timon princeps
R141,NA,97,Reptilia,Squamata,Scincidae,Trachylepis aurata
R236,NA,105,Reptilia,Squamata,Scincidae,Trachylepis septemtaeniata
R142,NA,68,Reptilia,Squamata,Scincidae,Trachylepis vittata
R200,NA,90,Reptilia,Squamata,Agamidae,Trapelus agilis
R201,NA,100,Reptilia,Squamata,Agamidae,Trapelus lessonae
R202,NA,1000,Reptilia,Testudines,Trionychidae,Trionyx triunguis
R203,NA,400,Reptilia,Squamata,Typhlopidae,Typhlops vermicularis
R184,NA,NA,Reptilia,Squamata,Lacertidae,Psammodromus manuelae
R204,NA,650,Reptilia,Squamata,Varanidae,Varanus griseus
R205,NA,NA,Reptilia,Squamata,Viperidae,Montivipera albizona
R206,NA,950,Reptilia,Squamata,Viperidae,Vipera ammodytes
R207,NA,940,Reptilia,Squamata,Viperidae,Vipera aspis
R208,NA,1040,Reptilia,Squamata,Viperidae,Vipera berus
R209,NA,780,Reptilia,Squamata,Viperidae,Montivipera bulgardaghica
R210,NA,421,Reptilia,Squamata,Viperidae,Vipera darevskii
R211,NA,486,Reptilia,Squamata,Viperidae,Vipera dinniki
R240,NA,290,Reptilia,Squamata,Viperidae,Vipera eriwanensis
R212,NA,600,Reptilia,Squamata,Viperidae,Vipera kaznakovi
R213,NA,730,Reptilia,Squamata,Viperidae,Vipera latastei
R242,NA,600,Reptilia,Squamata,Viperidae,Vipera lotievi
R214,NA,870,Reptilia,Squamata,Viperidae,Vipera nikolskii
R215,NA,NA,Reptilia,Squamata,Viperidae,Vipera pontica
R227,NA,620,Reptilia,Squamata,Viperidae,Vipera renardi
R217,NA,750,Reptilia,Squamata,Viperidae,Vipera seoanei
R216,NA,750,Reptilia,Squamata,Viperidae,Vipera transcaucasiana
R218,NA,490,Reptilia,Squamata,Viperidae,Vipera ursinii
R74,NA,30,Reptilia,Squamata,Colubridae,Zamenis hohenackeri
R75,NA,1500,Reptilia,Squamata,Colubridae,Zamenis lineatus
R76,NA,1600,Reptilia,Squamata,Colubridae,Zamenis longissimus
R241,NA,1200,Reptilia,Squamata,Colubridae,Zamenis persica
R79,NA,1020,Reptilia,Squamata,Colubridae,Zamenis situla
R137,NA,75,Reptilia,Squamata,Lacertidae,Zootoca vivipara
R252,NA,NA,Reptilia,Squamata,Colubridae,Eirenis coronelloides
