Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species,body_mass_databases,new_body_mass_g
A1,NA,50,Amphibia,Anura,Alytidae,Alytes cisternasii,6.1,6.1
A2,NA,56.5,Amphibia,Anura,Alytidae,Alytes dickhilleni,NA,NA
A3,NA,40,Amphibia,Anura,Alytidae,Alytes muletensis,2.31,2.31
A4,NA,55,Amphibia,Anura,Alytidae,Alytes obstetricans,13.4,13.4
A77,NA,124,Amphibia,Caudata,Plethodontidae,Atylodes genei,3.92,3.92
A5,NA,50,Amphibia,Anura,Bombinatoridae,Bombina bombina,5.9,5.9
A6,NA,60,Amphibia,Anura,Bombinatoridae,Bombina pachypus,NA,NA
A7,NA,60,Amphibia,Anura,Bombinatoridae,Bombina variegata,6.77,6.77
A8,NA,220,Amphibia,Anura,Bufonidae,Bufo bufo,164.75,164.75
A10,NA,190,Amphibia,Anura,Bufonidae,Bufo verrucosissimus,NA,NA
A99,NA,102,Amphibia,Caudata,Salamandridae,Calotriton arnoldi,NA,NA
A18,NA,170,Amphibia,Caudata,Salamandridae,Calotriton asper,7.1,7.1
A12,NA,164,Amphibia,Caudata,Salamandridae,Chioglossa lusitanica,4.2,4.2
A13,NA,65,Amphibia,Anura,Alytidae,Discoglossus galganoi,21.8,21.8
A14,NA,63,Amphibia,Anura,Alytidae,Discoglossus jeanneae,NA,NA
A15,NA,65,Amphibia,Anura,Alytidae,Discoglossus montalentii,NA,NA
A16,NA,65,Amphibia,Anura,Alytidae,Discoglossus pictus,22.05,22.05
A17,NA,75,Amphibia,Anura,Alytidae,Discoglossus sardus,NA,NA
A9,NA,100,Amphibia,Anura,Bufonidae,Epidalea calamita,62.7,62.7
A19,NA,110,Amphibia,Caudata,Salamandridae,Euproctus montanus,2.5,2.5
A20,NA,140,Amphibia,Caudata,Salamandridae,Euproctus platycephalus,5.1,5.1
A21,NA,60,Amphibia,Anura,Hylidae,Hyla arborea,9.5,9.5
A22,NA,55,Amphibia,Anura,Hylidae,Hyla intermedia,6.27,6.27
A23,NA,65,Amphibia,Anura,Hylidae,Hyla meridionalis,3.11,3.11
A24,NA,50,Amphibia,Anura,Hylidae,Hyla sarda,4,4
A25,NA,50,Amphibia,Anura,Hylidae,Hyla savignyi,NA,NA
A84,NA,97,Amphibia,Caudata,Salamandridae,Lissotriton boscai,1.77,1.77
A88,NA,95,Amphibia,Caudata,Salamandridae,Lissotriton helveticus,1.8,1.8
A89,NA,95,Amphibia,Caudata,Salamandridae,Lissotriton italicus,0.98,0.98
A92,NA,100,Amphibia,Caudata,Salamandridae,Lissotriton montandoni,2.6,2.6
A95,NA,117,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris,3.1,3.1
A26,NA,139,Amphibia,Caudata,Salamandridae,Lyciasalamandra antalyana,NA,NA
A27,NA,164,Amphibia,Caudata,Salamandridae,Lyciasalamandra atifi,NA,NA
A28,NA,139,Amphibia,Caudata,Salamandridae,Lyciasalamandra billae,NA,NA
A29,NA,125,Amphibia,Caudata,Salamandridae,Lyciasalamandra fazilae,NA,NA
A30,NA,124,Amphibia,Caudata,Salamandridae,Lyciasalamandra flavimembris,NA,NA
A31,NA,140,Amphibia,Caudata,Salamandridae,Lyciasalamandra helverseni,NA,NA
A32,NA,131,Amphibia,Caudata,Salamandridae,Lyciasalamandra luschani,7.8,7.8
A33,NA,208,Amphibia,Caudata,Salamandridae,Mertensiella caucasica,9.8,9.8
A83,NA,130,Amphibia,Caudata,Salamandridae,Mesotriton alpestris,NA,NA
A34,NA,180,Amphibia,Caudata,Salamandridae,Neurergus crocatus,13.4,13.4
A35,NA,190,Amphibia,Caudata,Salamandridae,Neurergus strauchii,NA,NA
A97,NA,170,Amphibia,Caudata,Salamandridae,Ommatotriton ophryticus,NA,NA
A94,NA,150,Amphibia,Caudata,Salamandridae,Ommatotriton vittatus,8.1,8.1
A36,NA,125,Amphibia,Anura,Pelobatidae,Pelobates cultripes,40,40
A37,NA,80,Amphibia,Anura,Pelobatidae,Pelobates fuscus,29.4,29.4
A38,NA,90,Amphibia,Anura,Pelobatidae,Pelobates syriacus,NA,NA
A39,NA,52,Amphibia,Anura,Pelodytidae,Pelodytes caucasicus,NA,NA
A40,NA,43,Amphibia,Anura,Pelodytidae,Pelodytes ibericus,4.87,4.87
A41,NA,47,Amphibia,Anura,Pelodytidae,Pelodytes punctatus,3.03,3.03
A45,NA,93,Amphibia,Anura,Ranidae,Pelophylax bedriagae,NA,NA
A46,NA,80,Amphibia,Anura,Ranidae,Pelophylax bergeri,NA,NA
A96,NA,89,Amphibia,Anura,Ranidae,Pelophylax caralitanus,135,135
A47,NA,41,Amphibia,Anura,Ranidae,Pelophylax cerigensis,NA,NA
A48,NA,70,Amphibia,Anura,Ranidae,Pelophylax cretensis,NA,NA
A50,NA,83,Amphibia,Anura,Ranidae,Pelophylax epeiroticus,59.02,59.02
A51,NA,120,Amphibia,Anura,Ranidae,Pelophylax esculentus,NA,NA
A53,NA,100,Amphibia,Anura,Ranidae,Pelophylax grafi,NA,NA
A54,NA,83,Amphibia,Anura,Ranidae,Pelophylax hispanicus,NA,NA
A57,NA,76,Amphibia,Anura,Ranidae,Pelophylax kurtmuelleri,NA,NA
A59,NA,83,Amphibia,Anura,Ranidae,Pelophylax lessonae,75.4,75.4
A61,NA,100,Amphibia,Anura,Ranidae,Pelophylax perezi,31.8,31.8
A63,NA,135,Amphibia,Anura,Ranidae,Pelophylax ridibundus,75.4,75.4
A64,NA,74,Amphibia,Anura,Ranidae,Pelophylax shqipericus,NA,NA
A42,NA,312,Amphibia,Caudata,Salamandridae,Pleurodeles waltl,25.8,25.8
A43,NA,250,Amphibia,Caudata,Proteidae,Proteus anguinus,17,17
A100,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea balearica,NA,NA
A101,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea boulengeri,NA,NA
A102,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea sicula,NA,NA
A103,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea variabilis,NA,NA
A11,NA,85,Amphibia,Anura,Bufonidae,Pseudepidalea viridis,75,75
A44,NA,80,Amphibia,Anura,Ranidae,Rana arvalis,10.8,10.8
A49,NA,90,Amphibia,Anura,Ranidae,Rana dalmatina,31.9,31.9
A52,NA,80,Amphibia,Anura,Ranidae,Rana graeca,NA,NA
A98,NA,NA,Amphibia,Anura,Ranidae,Rana holtzi,NA,NA
A55,NA,50,Amphibia,Anura,Ranidae,Rana iberica,10.6,10.6
A56,NA,64,Amphibia,Anura,Ranidae,Rana italica,NA,NA
A58,NA,60,Amphibia,Anura,Ranidae,Rana latastei,18.7,18.7
A60,NA,NA,Amphibia,Anura,Ranidae,Rana macrocnemis,11.3,11.3
A62,NA,50,Amphibia,Anura,Ranidae,Rana pyrenaica,NA,NA
A65,NA,NA,Amphibia,Anura,Ranidae,Rana tavasensis,NA,NA
A66,NA,110,Amphibia,Anura,Ranidae,Rana temporaria,47.6,47.6
A67,NA,151,Amphibia,Caudata,Salamandridae,Salamandra atra,8.2,8.2
A68,NA,210,Amphibia,Caudata,Salamandridae,Salamandra corsica,NA,NA
A69,NA,324,Amphibia,Caudata,Salamandridae,Salamandra infraimmaculata,125,125
A70,NA,190,Amphibia,Caudata,Salamandridae,Salamandra lanzai,19.3,19.3
A71,NA,280,Amphibia,Caudata,Salamandridae,Salamandra salamandra,35.8,35.8
A72,NA,140,Amphibia,Caudata,Hynobiidae,Salamandrella keyserlingii,6.9,6.9
A73,NA,134,Amphibia,Caudata,Salamandridae,Salamandrina perspicillata,NA,NA
A74,NA,88,Amphibia,Caudata,Salamandridae,Salamandrina terdigitata,NA,NA
A75,NA,116,Amphibia,Caudata,Plethodontidae,Speleomantes ambrosii,2.26,2.26
A76,NA,146,Amphibia,Caudata,Plethodontidae,Speleomantes flavus,NA,NA
A78,NA,150,Amphibia,Caudata,Plethodontidae,Speleomantes imperialis,3.92,3.92
A79,NA,120,Amphibia,Caudata,Plethodontidae,Speleomantes italicus,2.88,2.88
A80,NA,150,Amphibia,Caudata,Plethodontidae,Speleomantes sarrabusensis,NA,NA
A81,NA,128,Amphibia,Caudata,Plethodontidae,Speleomantes strinatii,NA,NA
A82,NA,143,Amphibia,Caudata,Plethodontidae,Speleomantes supramontis,5.08,5.08
A85,NA,210,Amphibia,Caudata,Salamandridae,Triturus carnifex,18.4,18.4
A86,NA,160,Amphibia,Caudata,Salamandridae,Triturus cristatus,15,15
A87,NA,130,Amphibia,Caudata,Salamandridae,Triturus dobrogicus,9.4,9.4
A90,NA,180,Amphibia,Caudata,Salamandridae,Triturus karelinii,10.5,10.5
A104,NA,200,Amphibia,Caudata,Salamandridae,Triturus macedonicus,NA,NA
A91,NA,170,Amphibia,Caudata,Salamandridae,Triturus marmoratus,9.8,9.8
A93,NA,140,Amphibia,Caudata,Salamandridae,Triturus pygmaeus,NA,NA
B1,1423,NA,Aves,Gaviiformes,Gaviidae,Gavia stellata,1477,1477
B10,795,NA,Aves,Procellariiformes,Procellariidae,Fulmarus glacialis,706,706
B100,218,NA,Aves,Falconiformes,Accipitridae,Accipiter brevipes,NA,218
B101,155,NA,Aves,Falconiformes,Accipitridae,Accipiter nisus,290,290
B102,800,NA,Aves,Falconiformes,Accipitridae,Accipiter gentilis,1140,1140
B103,875,NA,Aves,Falconiformes,Accipitridae,Buteo buteo,966.5,966.5
B104,1175,NA,Aves,Falconiformes,Accipitridae,Buteo rufinus,1314,1314
B105,925.8,NA,Aves,Falconiformes,Accipitridae,Buteo lagopus,1027,1027
B106,1400,NA,Aves,Falconiformes,Accipitridae,Aquila pomarina,1693.3,1693.3
B107,1953,NA,Aves,Falconiformes,Accipitridae,Aquila clanga,2108,2108
B108,2723,NA,Aves,Falconiformes,Accipitridae,Aquila nipalensis,2987,2987
B109,3492,NA,Aves,Falconiformes,Accipitridae,Aquila adalberti,NA,3492
B11,331,NA,Aves,Procellariiformes,Procellariidae,Pterodroma deserta (was previously lumped with P. feae),NA,331
B110,3184,NA,Aves,Falconiformes,Accipitridae,Aquila heliaca,3901,3901
B111,4775,NA,Aves,Falconiformes,Accipitridae,Aquila chrysaetos,5194,5194
B112,2050,NA,Aves,Falconiformes,Accipitridae,Hieraaetus fasciatus,2545.6,2545.6
B113,875,NA,Aves,Falconiformes,Accipitridae,Hieraaetus pennatus,975,975
B114,150,NA,Aves,Falconiformes,Falconidae,Falco naumanni,170,170
B115,245,NA,Aves,Falconiformes,Falconidae,Falco tinnunculus,252,252
B116,159,NA,Aves,Falconiformes,Falconidae,Falco vespertinus,167,167
B117,369,NA,Aves,Falconiformes,Falconidae,Falco eleonorae,388,388
B118,202.597,NA,Aves,Falconiformes,Falconidae,Falco columbarius,212,212
B119,235,NA,Aves,Falconiformes,Falconidae,Falco subbuteo,240.5,240.5
B12,331,NA,Aves,Procellariiformes,Procellariidae,Pterodroma madeira,NA,331
B120,675,NA,Aves,Falconiformes,Falconidae,Falco biarmicus,NA,675
B121,988,NA,Aves,Falconiformes,Falconidae,Falco cherrug,1130,1130
B122,1425,NA,Aves,Falconiformes,Falconidae,Falco rusticolus,1735,1735
B123,950,NA,Aves,Falconiformes,Falconidae,Falco peregrinus,865.6,865.6
B124,551,NA,Aves,Galliformes,Phasianidae,Lagopus lagopus,555,555
B125,700,NA,Aves,Galliformes,Phasianidae,Lagopus muta,NA,700
B126,2550,NA,Aves,Galliformes,Phasianidae,Tetrao urogallus,1985,1985
B127,1084.53,NA,Aves,Galliformes,Phasianidae,Tetrao tetrix,988,988
B128,815.5,NA,Aves,Galliformes,Phasianidae,Tetrao mlokosiewiczi,766,766
B129,391.23,NA,Aves,Galliformes,Phasianidae,Bonasa bonasia,370,370
B13,93.4,NA,Aves,Procellariiformes,Procellariidae,Bulweria bulwerii,99.9,99.9
B130,1833.45,NA,Aves,Galliformes,Phasianidae,Tetraogallus caucasicus,NA,1833.45
B131,2514.15,NA,Aves,Galliformes,Phasianidae,Tetraogallus caspius,2343.8,2343.8
B132,625,NA,Aves,Galliformes,Phasianidae,Alectoris graeca,575,575
B133,518.5,NA,Aves,Galliformes,Phasianidae,Alectoris chukar,501,501
B134,544.5,NA,Aves,Galliformes,Phasianidae,Alectoris barbara,NA,544.5
B135,425,NA,Aves,Galliformes,Phasianidae,Alectoris rufa,439,439
B136,197,NA,Aves,Galliformes,Phasianidae,Ammoperdix griseogularis,183.7,183.7
B137,456,NA,Aves,Galliformes,Phasianidae,Francolinus francolinus,425,425
B138,400,NA,Aves,Galliformes,Phasianidae,Perdix perdix,386,386
B139,102.5,NA,Aves,Galliformes,Phasianidae,Coturnix coturnix,103,103
B14,864,NA,Aves,Procellariiformes,Procellariidae,Calonectris diomedea,817.3,817.3
B140,1150,NA,Aves,Galliformes,Phasianidae,Phasianus colchicus,989,989
B141,65,NA,Aves,Gruiformes,Turnicidae,Turnix sylvatica,51,51
B142,2229,NA,Aves,Gruiformes,Gruidae,Anthropoides virgo,NA,2229
B143,5468.6,NA,Aves,Gruiformes,Gruidae,Grus grus,4500,4500
B144,137.5,NA,Aves,Gruiformes,Rallidae,Rallus aquaticus,104,104
B145,167.5,NA,Aves,Gruiformes,Rallidae,Crex crex,142,142
B146,48,NA,Aves,Gruiformes,Rallidae,Porzana parva,63,63
B147,44,NA,Aves,Gruiformes,Rallidae,Porzana pusilla,34,34
B148,87.5,NA,Aves,Gruiformes,Rallidae,Porzana porzana,80.7,80.7
B149,796.5,NA,Aves,Gruiformes,Rallidae,Porphyrio porphyrio,724,724
B15,452,NA,Aves,Procellariiformes,Procellariidae,Puffinus puffinus,506,506
B150,330,NA,Aves,Gruiformes,Rallidae,Gallinula chloropus,338,338
B151,917.5,NA,Aves,Gruiformes,Rallidae,Fulica cristata,900,900
B152,775,NA,Aves,Gruiformes,Rallidae,Fulica atra,715,715
B153,4962.21,NA,Aves,Gruiformes,Otididae,Otis tarda,3816,3816
B154,825,NA,Aves,Galliformes,Phasianidae,Tetrax tetrax,NA,825
B155,550,NA,Aves,Charadriiformes,Haematopodidae,Haematopus ostralegus,536,536
B156,180,NA,Aves,Charadriiformes,Recurvirostridae,Himantopus himantopus,157,157
B157,325,NA,Aves,Charadriiformes,Recurvirostridae,Recurvirostra avosetta,NA,325
B158,410,NA,Aves,Charadriiformes,Burhinidae,Burhinus oedicnemus,449,449
B159,77.1,NA,Aves,Charadriiformes,Glareolidae,Glareola pratincola,75,75
B16,451,NA,Aves,Procellariiformes,Procellariidae,Puffinus yelkouan,NA,451
B160,97.3,NA,Aves,Charadriiformes,Glareolidae,Glareola nordmanni,96,96
B161,230,NA,Aves,Charadriiformes,Charadriidae,Vanellus vanellus,226,226
B162,148,NA,Aves,Charadriiformes,Charadriidae,Hoplopterus spinosus,NA,148
B163,192,NA,Aves,Charadriiformes,Charadriidae,Hoplopterus indicus,NA,192
B165,124.8,NA,Aves,Charadriiformes,Charadriidae,Chettusia leucura,NA,124.8
B166,208.83,NA,Aves,Charadriiformes,Charadriidae,Pluvialis apricaria,176,176
B167,234.63,NA,Aves,Charadriiformes,Charadriidae,Pluvialis squatarola,NA,234.63
B168,63.363,NA,Aves,Charadriiformes,Charadriidae,Charadrius hiaticula,64.7,64.7
B169,40,NA,Aves,Charadriiformes,Charadriidae,Charadrius dubius,39.2,39.2
B17,521.5,NA,Aves,Procellariiformes,Procellariidae,Puffinus mauretanicus,NA,521.5
B170,50,NA,Aves,Charadriiformes,Charadriidae,Charadrius alexandrinus,47.1,47.1
B171,87.6,NA,Aves,Charadriiformes,Charadriidae,Charadrius leschenaultii,NA,87.6
B172,76.74,NA,Aves,Charadriiformes,Charadriidae,Charadrius asiaticus,76.2,76.2
B173,108.43,NA,Aves,Charadriiformes,Charadriidae,Charadrius morinellus,NA,108.43
B174,335,NA,Aves,Charadriiformes,Scolopacidae,Scolopax rusticola,313,313
B175,50.3,NA,Aves,Charadriiformes,Scolopacidae,Lymnocryptes minimus,46.7,46.7
B176,122,NA,Aves,Charadriiformes,Scolopacidae,Gallinago stenura,132,132
B177,177,NA,Aves,Charadriiformes,Scolopacidae,Gallinago media,175,175
B178,100,NA,Aves,Charadriiformes,Scolopacidae,Gallinago gallinago,128,128
B179,300,NA,Aves,Charadriiformes,Scolopacidae,Limosa limosa,315,315
B18,222.5,NA,Aves,Procellariiformes,Procellariidae,Puffinus assimilis,NA,222.5
B180,311,NA,Aves,Charadriiformes,Scolopacidae,Limosa lapponica,354,354
B181,393.5,NA,Aves,Charadriiformes,Scolopacidae,Numenius phaeopus,398,398
B182,762.5,NA,Aves,Charadriiformes,Scolopacidae,Numenius arquata,788,788
B183,164.71,NA,Aves,Charadriiformes,Scolopacidae,Tringa erythropus,161,161
B184,120,NA,Aves,Charadriiformes,Scolopacidae,Tringa totanus,135,135
B185,70.32,NA,Aves,Charadriiformes,Scolopacidae,Tringa stagnatilis,76,76
B186,173.5,NA,Aves,Charadriiformes,Scolopacidae,Tringa nebularia,175,175
B187,79.11,NA,Aves,Charadriiformes,Scolopacidae,Tringa ochropus,85,85
B188,71.43,NA,Aves,Charadriiformes,Scolopacidae,Tringa glareola,73,73
B189,79.25,NA,Aves,Charadriiformes,Scolopacidae,Xenus cinereus,NA,79.25
B19,48.9,NA,Aves,Procellariiformes,Hydrobatidae,Pelagodroma marina,41.4,41.4
B190,46.4125,NA,Aves,Charadriiformes,Scolopacidae,Actitis hypoleucos,NA,46.4125
B191,110.5,NA,Aves,Charadriiformes,Scolopacidae,Arenaria interpres,113,113
B192,148,NA,Aves,Charadriiformes,Scolopacidae,Calidris canutus,148,148
B193,75.7,NA,Aves,Charadriiformes,Scolopacidae,Calidris alba,55.4,55.4
B194,23.475,NA,Aves,Charadriiformes,Scolopacidae,Calidris minuta,27.1,27.1
B195,25.1667,NA,Aves,Charadriiformes,Scolopacidae,Calidris temminckii,27.8,27.8
B196,76.7,NA,Aves,Charadriiformes,Scolopacidae,Calidris melanotos,65.1,65.1
B197,47.528,NA,Aves,Charadriiformes,Scolopacidae,Calidris alpina,45.1,45.1
B198,68.8,NA,Aves,Charadriiformes,Scolopacidae,Calidris maritima,76.3,76.3
B199,37,NA,Aves,Charadriiformes,Scolopacidae,Limicola falcinellus,NA,37
B2,1987,NA,Aves,Gaviiformes,Gaviidae,Gavia arctica,2254,2254
B20,25.8,NA,Aves,Procellariiformes,Hydrobatidae,Hydrobates pelagicus,NA,25.8
B200,144.36,NA,Aves,Charadriiformes,Scolopacidae,Philomachus pugnax,118,118
B201,34.9,NA,Aves,Charadriiformes,Scolopacidae,Phalaropus lobatus,37.4,37.4
B202,59.22,NA,Aves,Charadriiformes,Scolopacidae,Phalaropus fulicarius,NA,59.22
B203,1431.5,NA,Aves,Charadriiformes,Stercorariidae,Stercorarius skua,NA,1431.5
B204,703.5,NA,Aves,Charadriiformes,Stercorariidae,Stercorarius pomarinus,740,740
B205,458.08,NA,Aves,Charadriiformes,Stercorariidae,Stercorarius parasiticus,408,408
B206,289.38,NA,Aves,Charadriiformes,Stercorariidae,Stercorarius longicaudus,307.2,307.2
B207,403,NA,Aves,Charadriiformes,Laridae,Larus canus,360,360
B208,562,NA,Aves,Charadriiformes,Laridae,Larus audouinii,NA,562
B209,1650,NA,Aves,Charadriiformes,Laridae,Larus marinus,1407,1407
B21,44.7,NA,Aves,Procellariiformes,Hydrobatidae,Oceanodroma leucorhoa,45.4,45.4
B210,1466,NA,Aves,Charadriiformes,Laridae,Larus hyperboreus,1249,1249
B211,863,NA,Aves,Charadriiformes,Laridae,Larus glaucoides,NA,863
B212,1000,NA,Aves,Charadriiformes,Laridae,Larus argentatus,813,813
B213,813.5,NA,Aves,Charadriiformes,Laridae,Larus fuscus,755,755
B214,924,NA,Aves,Charadriiformes,Laridae,Larus cachinnans,1033,1033
B215,866.7,NA,Aves,Charadriiformes,Laridae,Larus armenicus,NA,866.7
B216,1378,NA,Aves,Charadriiformes,Laridae,Larus ichthyaetus,1143,1143
B217,287.5,NA,Aves,Charadriiformes,Laridae,Larus ridibundus,267,267
B218,284,NA,Aves,Charadriiformes,Laridae,Larus genei,236,236
B219,300,NA,Aves,Charadriiformes,Laridae,Larus melanocephalus,NA,300
B22,42.6,NA,Aves,Procellariiformes,Hydrobatidae,Oceanodroma castro,NA,42.6
B220,99,NA,Aves,Charadriiformes,Laridae,Larus minutus,98,98
B221,529.5,NA,Aves,Charadriiformes,Laridae,Pagophila eburnea,507,507
B222,175.6,NA,Aves,Charadriiformes,Laridae,Larus sabini,NA,175.6
B223,387,NA,Aves,Charadriiformes,Laridae,Rissa tridactyla,393,393
B224,250,NA,Aves,Charadriiformes,Laridae,Gelochelidon nilotica,NA,250
B225,624,NA,Aves,Charadriiformes,Laridae,Sterna caspia,588,588
B226,204,NA,Aves,Charadriiformes,Laridae,Sterna bengalensis,NA,204
B227,235,NA,Aves,Charadriiformes,Laridae,Sterna sandvicensis,NA,235
B228,116,NA,Aves,Charadriiformes,Laridae,Sterna dougallii,NA,116
B229,120,NA,Aves,Charadriiformes,Laridae,Sterna hirundo,126,126
B23,700,NA,Aves,Pelecaniformes,Phaethontidae,Phaethon aethereus,NA,700
B230,107.33,NA,Aves,Charadriiformes,Laridae,Sterna paradisaea,117,117
B231,57.5,NA,Aves,Charadriiformes,Laridae,Sterna albifrons,55,55
B232,180,NA,Aves,Charadriiformes,Laridae,Sterna fuscata,NA,180
B233,87.5,NA,Aves,Charadriiformes,Laridae,Chlidonias hybrida,NA,87.5
B234,64.295,NA,Aves,Charadriiformes,Laridae,Chlidonias leucopterus,NA,64.295
B235,62.5,NA,Aves,Charadriiformes,Laridae,Chlidonias niger,58.7,58.7
B236,160.5,NA,Aves,Charadriiformes,Alcidae,Alle alle,151,151
B237,923.84,NA,Aves,Charadriiformes,Alcidae,Uria aalge,985,985
B238,958.75,NA,Aves,Charadriiformes,Alcidae,Uria lomvia,928,928
B239,636,NA,Aves,Charadriiformes,Alcidae,Alca torda,700,700
B24,3015,NA,Aves,Pelecaniformes,Sulidae,Morus bassanus,3067,3067
B240,395.8,NA,Aves,Charadriiformes,Alcidae,Cepphus grylle,386,386
B241,460.1,NA,Aves,Charadriiformes,Alcidae,Fratercula arctica,361,361
B242,242.5,NA,Aves,Columbiformes,Pteroclididae,Pterocles alchata,225,225
B243,425.25,NA,Aves,Columbiformes,Pteroclididae,Pterocles orientalis,383,383
B244,270,NA,Aves,Columbiformes,Columbidae,Columba livia,267,267
B245,295,NA,Aves,Columbiformes,Columbidae,Columba oenas,280,280
B246,485,NA,Aves,Columbiformes,Columbidae,Columba palumbus,497,497
B247,462.5,NA,Aves,Columbiformes,Columbidae,Columba trocaz,NA,462.5
B248,187.5,NA,Aves,Columbiformes,Columbidae,Streptopelia turtur,142,142
B249,187.5,NA,Aves,Columbiformes,Columbidae,Streptopelia decaocto,189,189
B25,2250,NA,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax carbo,2000,2000
B250,109.5,NA,Aves,Columbiformes,Columbidae,Streptopelia senegalensis,98.4,98.4
B251,155,NA,Aves,Cuculiformes,Cuculidae,Clamator glandarius,138,138
B252,117.5,NA,Aves,Cuculiformes,Cuculidae,Cuculus canorus,106,106
B253,99.34,NA,Aves,Cuculiformes,Cuculidae,Cuculus saturatus,77,77
B254,520,NA,Aves,Strigiformes,Tytonidae,Tyto alba,392,392
B255,110,NA,Aves,Strigiformes,Strigidae,Otus brucei,NA,110
B256,85,NA,Aves,Strigiformes,Strigidae,Otus scops,NA,85
B257,2250,NA,Aves,Strigiformes,Strigidae,Bubo bubo,2992,2992
B258,1797.96,NA,Aves,Strigiformes,Strigidae,Nyctea scandiaca,1961,1961
B259,505,NA,Aves,Strigiformes,Strigidae,Strix aluco,486,486
B26,1930,NA,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax aristotelis,1598,1598
B260,775.22,NA,Aves,Strigiformes,Strigidae,Strix uralensis,870,870
B261,971.5,NA,Aves,Strigiformes,Strigidae,Strix nebulosa,1186,1186
B262,311.5,NA,Aves,Strigiformes,Strigidae,Surnia ulula,320,320
B263,64.3,NA,Aves,Strigiformes,Strigidae,Glaucidium passerinum,73,73
B264,170,NA,Aves,Strigiformes,Strigidae,Athene noctua,176,176
B265,131.4,NA,Aves,Strigiformes,Strigidae,Aegolius funereus,167,167
B266,327.5,NA,Aves,Strigiformes,Strigidae,Asio otus,278,278
B267,320,NA,Aves,Strigiformes,Strigidae,Asio flammeus,312,312
B268,75,NA,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus ruficollis,83.5,83.5
B269,87.5,NA,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus europaeus,83.2,83.2
B27,679.2,NA,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax pygmaeus,NA,679.2
B270,100,NA,Aves,Apodiformes,Apodidae,Apus melba,NA,100
B271,41.5,NA,Aves,Apodiformes,Apodidae,Apus apus,40.3,40.3
B272,22.5,NA,Aves,Apodiformes,Apodidae,Apus unicolor,NA,22.5
B273,43,NA,Aves,Apodiformes,Apodidae,Apus pallidus,NA,43
B274,25,NA,Aves,Apodiformes,Apodidae,Apus affinis,25,25
B275,22.1,NA,Aves,Apodiformes,Apodidae,Apus caffer,NA,22.1
B276,42.5,NA,Aves,Coraciiformes,Alcedinidae,Alcedo atthis,43.8,43.8
B277,101,NA,Aves,Coraciiformes,Alcedinidae,Halcyon smyrnensis,NA,101
