Species_ID,body_mass_g,body_length_max_mm,Class,Order,Family,Species,body_mass_databases,new_body_mass_g
M291,8.00E+05,NA,Mammalia,Carnivora,Ursidae,Ursus maritimus,388750.4,388750.4
M292,23,NA,Mammalia,Chiroptera,Vespertilionidae,Vespertilio murinus,18.7,18.7
M293,715,NA,Mammalia,Carnivora,Mustelidae,Vormela peregusna,450.4,450.4
M294,3200,NA,Mammalia,Carnivora,Canidae,Vulpes corsac,2400,2400
M295,14000,NA,Mammalia,Carnivora,Canidae,Vulpes vulpes,5318.2,5318.2
R1,NA,60,Reptilia,Squamata,Scincidae,Ablepharus bivittatus,4.363450333,4.363450333
R2,NA,48,Reptilia,Squamata,Scincidae,Ablepharus budaki,2.012463234,2.012463234
R3,NA,52,Reptilia,Squamata,Scincidae,Ablepharus chernovi,2.943740006,2.943740006
R4,NA,52,Reptilia,Squamata,Scincidae,Ablepharus kitaibelii,3.707737599,3.707737599
R5,NA,NA,Reptilia,Squamata,Scincidae,Ablepharus pannonicus,3.123425301,3.123425301
R229,NA,79,Reptilia,Squamata,Lacertidae,Acanthodactylus boskianus,19.64546709,19.64546709
R6,NA,80,Reptilia,Squamata,Lacertidae,Acanthodactylus erythrurus,13.66306621,13.66306621
R238,NA,95,Reptilia,Squamata,Scincidae,Acanthodactylus grandis,24.93920758,24.93920758
R237,NA,NA,Reptilia,Squamata,Scincidae,Acanthodactylus harranensis,19.52366751,19.52366751
R7,NA,93,Reptilia,Squamata,Lacertidae,Acanthodactylus schreiberi,18.4498645,18.4498645
R8,NA,44,Reptilia,Squamata,Lacertidae,Algyroides fitzingeri,2.16585874,2.16585874
R9,NA,53,Reptilia,Squamata,Lacertidae,Algyroides marchi,3.510250347,3.510250347
R10,NA,50,Reptilia,Squamata,Lacertidae,Algyroides moreoticus,2.955700894,2.955700894
R11,NA,68,Reptilia,Squamata,Lacertidae,Algyroides nigropunctatus,7.977821519,7.977821519
R12,NA,43,Reptilia,Squamata,Gekkonidae,Alsophylax pipiens,1.692638921,1.692638921
R116,NA,75,Reptilia,Squamata,Lacertidae,Anatololacerta anatolica,9.779255388,9.779255388
R120,NA,230,Reptilia,Squamata,Lacertidae,Anatololacerta danfordi,9.779255388,9.779255388
R127,NA,65,Reptilia,Squamata,Lacertidae,Anatololacerta oertzeni,NA,NA
R13,NA,300,Reptilia,Squamata,Anguidae,Anguis cephallonica,75.85960343,75.85960343
R14,NA,290,Reptilia,Squamata,Anguidae,Anguis fragilis,79.75878398,79.75878398
R118,NA,250,Reptilia,Squamata,Lacertidae,Apathya cappadocica,10.16906237,10.16906237
R15,NA,80,Reptilia,Squamata,Lacertidae,Archaeolacerta bedriagae,13.66306621,13.66306621
R16,NA,100,Reptilia,Squamata,Gekkonidae,Asaccus elisae,7.194984041,7.194984041
R17,NA,254,Reptilia,Squamata,Amphisbaenidae,Blanus cinereus,16.57393487,16.57393487
R18,NA,200,Reptilia,Squamata,Amphisbaenidae,Blanus strauchi,9.736580055,9.736580055
R19,NA,98,Reptilia,Squamata,Scincidae,Chalcides bedriagai,20.03568347,20.03568347
R20,NA,99,Reptilia,Squamata,Scincidae,Chalcides bistriatus,NA,NA
R21,NA,185,Reptilia,Squamata,Scincidae,Chalcides chalcides,34.16064774,34.16064774
R22,NA,160,Reptilia,Squamata,Scincidae,Chalcides ocellatus,79.7257613,79.7257613
R23,NA,99,Reptilia,Squamata,Scincidae,Chalcides sexlineatus,20.84039965,20.84039965
R24,NA,125,Reptilia,Squamata,Scincidae,Chalcides simonyi,NA,NA
R25,NA,210,Reptilia,Squamata,Scincidae,Chalcides striatus,34.16064774,34.16064774
R26,NA,91,Reptilia,Squamata,Scincidae,Chalcides viridanus,48.98850374,48.98850374
R220,NA,190,Reptilia,Squamata,Chamaeleonidae,Chamaeleo africanus,147.8292549,147.8292549
R27,NA,150,Reptilia,Squamata,Chamaeleonidae,Chamaeleo chamaeleon,95.63197149,95.63197149
R28,NA,1000,Reptilia,Squamata,Colubridae,Coronella austriaca,66.51896405,66.51896405
R29,NA,950,Reptilia,Squamata,Colubridae,Coronella girondica,66.51896405,66.51896405
R30,NA,75,Reptilia,Squamata,Gekkonidae,Cyrtopodion caspium,NA,NA
R31,NA,120,Reptilia,Squamata,Gekkonidae,Cyrtopodion heterocercum,NA,NA
R32,NA,56,Reptilia,Squamata,Gekkonidae,Cyrtopodion kotschyi,NA,NA
R33,NA,NA,Reptilia,Squamata,Gekkonidae,Cyrtopodion russowii,NA,NA
R34,NA,55,Reptilia,Squamata,Gekkonidae,Cyrtopodion scabrum,5.804688822,5.804688822
R128,NA,65,Reptilia,Squamata,Lacertidae,Dalmatolacerta oxycephala,8.191570022,8.191570022
R35,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia alpina,7.32375489,7.32375489
R36,NA,180,Reptilia,Squamata,Lacertidae,Darevskia armeniaca,9.029542781,9.029542781
R37,NA,190,Reptilia,Squamata,Lacertidae,Darevskia bendimahiensis,5.983912894,5.983912894
R38,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia brauneri,8.318851792,8.318851792
R39,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia caucasica,7.01046367,7.01046367
R188,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia chlorogaster,8.669383143,8.669383143
R40,NA,200,Reptilia,Squamata,Lacertidae,Darevskia clarkorum,7.646165024,7.646165024
R41,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia daghestanica,4.58011106,4.58011106
R42,NA,64,Reptilia,Squamata,Lacertidae,Darevskia dahli,6.124027088,6.124027088
R43,NA,160,Reptilia,Squamata,Lacertidae,Darevskia derjugini,6.410727474,6.410727474
R44,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia dryada,8.812284486,8.812284486
R45,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia lindholmi,9.779255388,9.779255388
R46,NA,200,Reptilia,Squamata,Lacertidae,Darevskia mixta,5.845934715,5.845934715
R47,NA,64.5,Reptilia,Squamata,Lacertidae,Darevskia nairensis,NA,NA
R48,NA,180,Reptilia,Squamata,Lacertidae,Darevskia parvula,5.650966465,5.650966465
R49,NA,67,Reptilia,Squamata,Lacertidae,Darevskia portschinskii,7.01046367,7.01046367
R50,NA,130,Reptilia,Squamata,Lacertidae,Darevskia praticola,6.706163754,6.706163754
R51,NA,210,Reptilia,Squamata,Lacertidae,Darevskia raddei,10.16906237,10.16906237
R52,NA,60,Reptilia,Squamata,Lacertidae,Darevskia rostombekovi,NA,NA
R53,NA,260,Reptilia,Squamata,Lacertidae,Darevskia rudis,15.94847592,15.94847592
R54,NA,160,Reptilia,Squamata,Lacertidae,Darevskia sapphirina,4.350976113,4.350976113
R55,NA,NA,Reptilia,Squamata,Lacertidae,Darevskia saxicola,15.67358581,15.67358581
R56,NA,200,Reptilia,Squamata,Lacertidae,Darevskia unisexualis,9.029542781,9.029542781
R57,NA,180,Reptilia,Squamata,Lacertidae,Darevskia uzzelli,5.062025633,5.062025633
R58,NA,80,Reptilia,Squamata,Lacertidae,Darevskia valentini,11.83092093,11.83092093
R126,NA,64,Reptilia,Squamata,Lacertidae,Dinarolacerta montenegrina,6.06772407,6.06772407
R125,NA,73,Reptilia,Squamata,Lacertidae,Dinarolacerta mosorensis,11.83092093,11.83092093
R219,NA,1200,Reptilia,Squamata,Colubridae,Dolichophis caspius,1200.520781,1200.520781
R104,NA,1165,Reptilia,Squamata,Colubridae,Dolichophis cypriensis,NA,NA
R221,NA,3000,Reptilia,Squamata,Colubridae,Dolichophis jugularis,1200.520781,1200.520781
R225,NA,1600,Reptilia,Squamata,Colubridae,Dolichophis schmidti,386.5989196,386.5989196
R59,NA,NA,Reptilia,Squamata,Colubridae,Eirenis aurolineatus,18.18324967,18.18324967
R60,NA,NA,Reptilia,Squamata,Colubridae,Eirenis barani,19.35973445,19.35973445
R62,NA,330,Reptilia,Squamata,Colubridae,Eirenis coronella,5.991938414,5.991938414
R63,NA,750,Reptilia,Squamata,Colubridae,Eirenis decemlineatus,68.00673189,68.00673189
R64,NA,NA,Reptilia,Squamata,Colubridae,Eirenis eiselti,11.44538268,11.44538268
R65,NA,NA,Reptilia,Squamata,Colubridae,Eirenis hakkariensis,11.44538268,11.44538268
R66,NA,462,Reptilia,Squamata,Colubridae,Eirenis levantinus,16.50159698,16.50159698
R67,NA,316,Reptilia,Squamata,Colubridae,Eirenis lineomaculatus,6.290794566,6.290794566
R73,NA,NA,Reptilia,Squamata,Colubridae,Eirenis medus,5.991938414,5.991938414
R68,NA,600,Reptilia,Squamata,Colubridae,Eirenis modestus,32.04247285,32.04247285
R69,NA,500,Reptilia,Squamata,Colubridae,Eirenis punctatolineatus,32.04247285,32.04247285
R70,NA,381,Reptilia,Squamata,Colubridae,Eirenis rothii,8.154339049,8.154339049
R71,NA,NA,Reptilia,Squamata,Colubridae,Eirenis thospitis,24.52154083,24.52154083
R72,NA,1000,Reptilia,Squamata,Colubridae,Elaphe dione,117.2195366,117.2195366
R77,NA,1600,Reptilia,Squamata,Colubridae,Elaphe quatuorlineata,681.263559,681.263559
R226,NA,1400,Reptilia,Squamata,Colubridae,Elaphe sauromates,681.263559,681.263559
R80,NA,172,Reptilia,Testudines,Emydidae,Emys orbicularis,1599.188706,1599.188706
R198,NA,145,Reptilia,Testudines,Emydidae,Emys trinacris,548.5616844,548.5616844
R81,NA,85,Reptilia,Squamata,Lacertidae,Eremias arguta,22.85598803,22.85598803
R82,NA,NA,Reptilia,Squamata,Lacertidae,Eremias intermedia,7.646165024,7.646165024
R239,NA,98,Reptilia,Squamata,Lacertidae,Eremias persica,21.53317892,21.53317892
R83,NA,150,Reptilia,Squamata,Lacertidae,Eremias pleskei,5.062025633,5.062025633
R84,NA,NA,Reptilia,Squamata,Lacertidae,Eremias scripta,6.706163754,6.706163754
R85,NA,200,Reptilia,Squamata,Lacertidae,Eremias strauchi,11.83092093,11.83092093
R86,NA,200,Reptilia,Squamata,Lacertidae,Eremias suphani,5.845934715,5.845934715
R87,NA,NA,Reptilia,Squamata,Lacertidae,Eremias velox,19.04146225,19.04146225
R88,NA,840,Reptilia,Squamata,Boidae,Eryx jaculus,254.2289496,254.2289496
R89,NA,NA,Reptilia,Squamata,Boidae,Eryx miliaris,367.301089,367.301089
R235,NA,151,Reptilia,Squamata,Gekkonidae,Eublepharis angramainyu,114.9485293,114.9485293
R90,NA,48,Reptilia,Squamata,Gekkonidae,Euleptes europaea,2.099236713,2.099236713
R91,NA,165,Reptilia,Squamata,Scincidae,Eumeces schneideri,159.6824903,159.6824903
R92,NA,102,Reptilia,Squamata,Lacertidae,Gallotia atlantica,28.68358973,28.68358973
R93,NA,NA,Reptilia,Squamata,Lacertidae,Gallotia auaritae,NA,NA
R94,NA,250,Reptilia,Squamata,Lacertidae,Gallotia bravoana,164.0182365,164.0182365
R95,NA,111,Reptilia,Squamata,Lacertidae,Gallotia caesaris,31.09912071,31.09912071
R96,NA,145,Reptilia,Squamata,Lacertidae,Gallotia galloti,68.42219069,68.42219069
R97,NA,150,Reptilia,Squamata,Lacertidae,Gallotia intermedia,91.48672243,91.48672243
R98,NA,236,Reptilia,Squamata,Lacertidae,Gallotia simonyi,2671.632199,2671.632199
R99,NA,280,Reptilia,Squamata,Lacertidae,Gallotia stehlini,1085.833629,1085.833629
R100,NA,NA,Reptilia,Squamata,Viperidae,Gloydius intermedius,262.4791651,262.4791651
R101,NA,80,Reptilia,Squamata,Lacertidae,Hellenolacerta graeca,14.14865803,14.14865803
R102,NA,60,Reptilia,Squamata,Gekkonidae,Hemidactylus turcicus,4.870906645,4.870906645
R223,NA,1145,Reptilia,Squamata,Colubridae,Hemorrhois algirus,165.3130471,165.3130471
R103,NA,1850,Reptilia,Squamata,Colubridae,Hemorrhois hippocrepis,681.263559,681.263559
R222,NA,1500,Reptilia,Squamata,Colubridae,Hemorrhois nummifer,217.2152733,217.2152733
R230,NA,1300,Reptilia,Squamata,Colubridae,Hemorrhois ravergieri,271.2088593,271.2088593
R105,NA,1280,Reptilia,Squamata,Colubridae,Hierophis gemonensis,219.3845872,219.3845872
R224,NA,1690,Reptilia,Squamata,Colubridae,Hierophis gyarosensis,NA,NA
R106,NA,1690,Reptilia,Squamata,Colubridae,Hierophis viridiflavus,386.5989196,386.5989196
R107,NA,67,Reptilia,Squamata,Lacertidae,Iberolacerta aranica,6.973475445,6.973475445
R108,NA,65,Reptilia,Squamata,Lacertidae,Iberolacerta aurelioi,6.483762571,6.483762571
R109,NA,65,Reptilia,Squamata,Lacertidae,Iberolacerta bonnali,6.516071483,6.516071483
R110,NA,91,Reptilia,Squamata,Lacertidae,Iberolacerta cyreni,17.30338811,17.30338811
R111,NA,85,Reptilia,Squamata,Lacertidae,Iberolacerta galani,14.14865803,14.14865803
R112,NA,71,Reptilia,Squamata,Lacertidae,Iberolacerta horvathi,6.410727474,6.410727474
R113,NA,68,Reptilia,Squamata,Lacertidae,Iberolacerta martinezricai,7.600473883,7.600473883
R114,NA,91,Reptilia,Squamata,Lacertidae,Iberolacerta monticola,13.9530754,13.9530754
R164,NA,75,Reptilia,Squamata,Lacertidae,Iranolacerta brandtii,10.33579662,10.33579662
R115,NA,99,Reptilia,Squamata,Lacertidae,Lacerta agilis,33.6454403,33.6454403
R117,NA,150,Reptilia,Squamata,Lacertidae,Lacerta bilineata,49.57318619,49.57318619
R124,NA,481,Reptilia,Squamata,Lacertidae,Lacerta media,91.48672243,91.48672243
R129,NA,NA,Reptilia,Squamata,Lacertidae,Lacerta pamphylica,39.1438787,39.1438787
R132,NA,120,Reptilia,Squamata,Lacertidae,Lacerta schreiberi,55.41341952,55.41341952
R133,NA,300,Reptilia,Squamata,Lacertidae,Lacerta strigata,91.48672243,91.48672243
R134,NA,190,Reptilia,Squamata,Lacertidae,Lacerta trilineata,117.18198,117.18198
R136,NA,160,Reptilia,Squamata,Lacertidae,Lacerta viridis,91.48672243,91.48672243
R138,NA,150,Reptilia,Squamata,Agamidae,Laudakia caucasia,NA,NA
R139,NA,210,Reptilia,Squamata,Agamidae,Laudakia stellio,NA,NA
R140,NA,280,Reptilia,Squamata,Leptotyphlopidae,Leptotyphlops macrorhynchus,NA,NA
R143,NA,598,Reptilia,Squamata,Colubridae,Macroprotodon brevis,20.16902206,20.16902206
R144,NA,600,Reptilia,Squamata,Colubridae,Macroprotodon cucullatus,25.69099171,25.69099171
R251,NA,660,Reptilia,Squamata,Colubridae,Macroprotodon mauritanicus,29.85482089,29.85482089
R145,NA,1500,Reptilia,Squamata,Viperidae,Macrovipera lebetina,4769.842951,4769.842951
R146,NA,1500,Reptilia,Squamata,Viperidae,Macrovipera schweizeri,634.6098271,634.6098271
R147,NA,2550,Reptilia,Squamata,Colubridae,Malpolon monspessulanus,388.3534691,388.3534691
R148,NA,250,Reptilia,Testudines,Geoemydidae,Mauremys caspica,2260.643208,2260.643208
R149,NA,250,Reptilia,Testudines,Geoemydidae,Mauremys leprosa,2260.643208,2260.643208
R150,NA,240,Reptilia,Testudines,Geoemydidae,Mauremys rivulata,2111.988329,2111.988329
R245,NA,55,Reptilia,Squamata,Lacertidae,Mesalina brevirostris,5.062025633,5.062025633
R151,NA,990,Reptilia,Squamata,Viperidae,Montivipera raddei,687.7850222,687.7850222
R152,NA,950,Reptilia,Squamata,Viperidae,Montivipera wagneri,448.9269637,448.9269637
R153,NA,1350,Reptilia,Squamata,Viperidae,Montivipera xanthina,1118.343338,1118.343338
R154,NA,930,Reptilia,Squamata,Colubridae,Natrix maura,135.8020191,135.8020191
R155,NA,2050,Reptilia,Squamata,Colubridae,Natrix natrix,2800.928844,2800.928844
R156,NA,1300,Reptilia,Squamata,Colubridae,Natrix tessellata,283.7919028,283.7919028
R157,NA,100,Reptilia,Squamata,Scincidae,Ophiomorus punctatissimus,2.471724145,2.471724145
R158,NA,55,Reptilia,Squamata,Lacertidae,Ophisops elegans,7.977821519,7.977821519
R130,NA,61,Reptilia,Squamata,Lacertidae,Parvilacerta parva,5.576322414,5.576322414
R119,NA,NA,Reptilia,Squamata,Lacertidae,Phoenicolacerta cyanisparsa,6.410727474,6.410727474
R122,NA,250,Reptilia,Squamata,Lacertidae,Phoenicolacerta laevis,15.15379173,15.15379173
R135,NA,75,Reptilia,Squamata,Lacertidae,Phoenicolacerta troodica,7.977821519,7.977821519
R159,NA,NA,Reptilia,Squamata,Agamidae,Phrynocephalus guttatus,8.771946454,8.771946454
R160,NA,NA,Reptilia,Squamata,Agamidae,Phrynocephalus helioscopus,11.041534,11.041534
R161,NA,110,Reptilia,Squamata,Agamidae,Phrynocephalus mystaceus,63.07574184,63.07574184
R162,NA,70,Reptilia,Squamata,Agamidae,Phrynocephalus persicus,6.49374897,6.49374897
R61,NA,1000,Reptilia,Squamata,Colubridae,Platyceps collaris,117.2195366,117.2195366
R163,NA,1300,Reptilia,Squamata,Colubridae,Platyceps najadum,228.1929233,228.1929233
R231,NA,1000,Reptilia,Squamata,Colubridae,Platyceps ventromaculatus,210.7855396,210.7855396
R165,NA,65,Reptilia,Squamata,Lacertidae,Podarcis atrata,NA,NA
R166,NA,65,Reptilia,Squamata,Lacertidae,Podarcis bocagei,7.977821519,7.977821519
R167,NA,58,Reptilia,Squamata,Lacertidae,Podarcis carbonelli,6.410727474,6.410727474
R168,NA,75,Reptilia,Squamata,Lacertidae,Podarcis erhardii,13.66306621,13.66306621
R169,NA,74,Reptilia,Squamata,Lacertidae,Podarcis filfolensis,14.64552451,14.64552451
R170,NA,60,Reptilia,Squamata,Lacertidae,Podarcis gaigeae,22.85598803,22.85598803
R171,NA,65,Reptilia,Squamata,Lacertidae,Podarcis hispanica,NA,NA
R172,NA,81,Reptilia,Squamata,Lacertidae,Podarcis lilfordi,12.27267662,12.27267662
R173,NA,65,Reptilia,Squamata,Lacertidae,Podarcis melisellensis,9.399457856,9.399457856
R174,NA,65,Reptilia,Squamata,Lacertidae,Podarcis milensis,9.779255388,9.779255388
R175,NA,75,Reptilia,Squamata,Lacertidae,Podarcis muralis,10.97921205,10.97921205
R176,NA,85,Reptilia,Squamata,Lacertidae,Podarcis peloponnesiaca,NA,NA
R177,NA,70,Reptilia,Squamata,Lacertidae,Podarcis pityusensis,12.72520179,12.72520179
R178,NA,84,Reptilia,Squamata,Lacertidae,Podarcis raffonei,NA,NA
R179,NA,90,Reptilia,Squamata,Lacertidae,Podarcis sicula,NA,NA
R180,NA,80,Reptilia,Squamata,Lacertidae,Podarcis taurica,NA,NA
R181,NA,65,Reptilia,Squamata,Lacertidae,Podarcis tiliguerta,15.15379173,15.15379173
R182,NA,60,Reptilia,Squamata,Lacertidae,Podarcis vaucheri,5.062025633,5.062025633
R183,NA,70,Reptilia,Squamata,Lacertidae,Podarcis wagleriana,NA,NA
R254,NA,75,NA,NA,NA,Podarcis cretendis,NA,NA
R253,NA,93,Reptilia,Squamata,Lacertidae,Psammodromus jeanneae,NA,NA
R185,NA,57,Reptilia,Squamata,Lacertidae,Psammodromus hispanicus,4.129551323,4.129551323
R247,NA,1080,Reptilia,Squamata,Viperidae,Pseudocerastes persicus,652.0233188,652.0233188
R232,NA,400,Reptilia,Squamata,Colubridae,Pseudocyclophis persicus,NA,NA
R186,NA,560,Reptilia,Squamata,Anguidae,Pseudopus apodus,586.1837258,586.1837258
R187,NA,700,Reptilia,Testudines,Trionychidae,Rafetus euphraticus,24993.29585,24993.29585
R78,NA,1600,Reptilia,Squamata,Colubridae,Rhinechis scalaris,386.5989196,386.5989196
R248,NA,NA,Reptilia,Squamata,Typhlopoidea,Rhinotyphlops episcopus,NA,NA
R249,NA,NA,Reptilia,Squamata,Colubridae,Rhynchocalamus barani,11.63374992,11.63374992
R233,NA,550,Reptilia,Squamata,Colubridae,Rhynchocalamus melanocephalus,25.69099171,25.69099171
R234,NA,1800,Reptilia,Squamata,Colubridae,Spalerosophis diadema,681.263559,681.263559
R228,NA,100,Reptilia,Squamata,Gekkonidae,Stenodactylus grandiceps,3.659632965,3.659632965
R189,NA,77,Reptilia,Squamata,Gekkonidae,Tarentola angustimentalis,13.26172482,13.26172482
R190,NA,75,Reptilia,Squamata,Gekkonidae,Tarentola bischoffi,5.684017835,5.684017835
R191,NA,75,Reptilia,Squamata,Gekkonidae,Tarentola boettgeri,10.75227152,10.75227152
R192,NA,84,Reptilia,Squamata,Gekkonidae,Tarentola delalandii,15.31096265,15.31096265
R193,NA,72,Reptilia,Squamata,Gekkonidae,Tarentola gomerensis,11.40239362,11.40239362
R194,NA,84,Reptilia,Squamata,Gekkonidae,Tarentola mauritanica,16.40959789,16.40959789
R121,NA,69,Reptilia,Squamata,Lacertidae,Teira dugesii,12.27267662,12.27267662
R195,NA,1300,Reptilia,Squamata,Colubridae,Telescopus fallax,186.2263726,186.2263726
R246,NA,600,Reptilia,Squamata,Colubridae,Telescopus nigriceps,32.04247285,32.04247285
R196,NA,300,Reptilia,Testudines,Testudinidae,Testudo graeca,4980.95064,4980.95064
R197,NA,200,Reptilia,Testudines,Testudinidae,Testudo hermanni,7363.232451,7363.232451
R199,NA,305,Reptilia,Testudines,Testudinidae,Testudo marginata,10955.80708,10955.80708
R123,NA,260,Reptilia,Squamata,Lacertidae,Timon lepidus,383.341952,383.341952
R131,NA,400,Reptilia,Squamata,Lacertidae,Timon princeps,72.68458615,72.68458615
R141,NA,97,Reptilia,Squamata,Scincidae,Trachylepis aurata,33.80596418,33.80596418
R236,NA,105,Reptilia,Squamata,Scincidae,Trachylepis septemtaeniata,25.20114348,25.20114348
R142,NA,68,Reptilia,Squamata,Scincidae,Trachylepis vittata,18.24187691,18.24187691
R200,NA,90,Reptilia,Squamata,Agamidae,Trapelus agilis,52.98367243,52.98367243
R201,NA,100,Reptilia,Squamata,Agamidae,Trapelus lessonae,NA,NA
R202,NA,1000,Reptilia,Testudines,Trionychidae,Trionyx triunguis,111953.71,111953.71
R203,NA,400,Reptilia,Squamata,Typhlopidae,Typhlops vermicularis,NA,NA
R184,NA,NA,Reptilia,Squamata,Lacertidae,Psammodromus manuelae,NA,NA
R204,NA,650,Reptilia,Squamata,Varanidae,Varanus griseus,5542.068074,5542.068074
R205,NA,NA,Reptilia,Squamata,Viperidae,Montivipera albizona,252.9270589,252.9270589
R206,NA,950,Reptilia,Squamata,Viperidae,Vipera ammodytes,687.7850222,687.7850222
R207,NA,940,Reptilia,Squamata,Viperidae,Vipera aspis,324.7948048,324.7948048
R208,NA,1040,Reptilia,Squamata,Viperidae,Vipera berus,227.4018094,227.4018094
R209,NA,780,Reptilia,Squamata,Viperidae,Montivipera bulgardaghica,225.6463308,225.6463308
R210,NA,421,Reptilia,Squamata,Viperidae,Vipera darevskii,41.74989956,41.74989956
R211,NA,486,Reptilia,Squamata,Viperidae,Vipera dinniki,112.2481919,112.2481919
R240,NA,290,Reptilia,Squamata,Viperidae,Vipera eriwanensis,73.45632755,73.45632755
R212,NA,600,Reptilia,Squamata,Viperidae,Vipera kaznakovi,184.6015299,184.6015299
R213,NA,730,Reptilia,Squamata,Viperidae,Vipera latastei,200.3722454,200.3722454
R242,NA,600,Reptilia,Squamata,Viperidae,Vipera lotievi,117.8745748,117.8745748
R214,NA,870,Reptilia,Squamata,Viperidae,Vipera nikolskii,NA,NA
R215,NA,NA,Reptilia,Squamata,Viperidae,Vipera pontica,117.8745748,117.8745748
R227,NA,620,Reptilia,Squamata,Viperidae,Vipera renardi,192.3808304,192.3808304
R217,NA,750,Reptilia,Squamata,Viperidae,Vipera seoanei,184.6015299,184.6015299
R216,NA,750,Reptilia,Squamata,Viperidae,Vipera transcaucasiana,184.6015299,184.6015299
R218,NA,490,Reptilia,Squamata,Viperidae,Vipera ursinii,117.8745748,117.8745748
R74,NA,30,Reptilia,Squamata,Colubridae,Zamenis hohenackeri,58.39635109,58.39635109
R75,NA,1500,Reptilia,Squamata,Colubridae,Zamenis lineatus,450.9307076,450.9307076
R76,NA,1600,Reptilia,Squamata,Colubridae,Zamenis longissimus,681.263559,681.263559
R241,NA,1200,Reptilia,Squamata,Colubridae,Zamenis persica,NA,NA
R79,NA,1020,Reptilia,Squamata,Colubridae,Zamenis situla,117.2195366,117.2195366
R137,NA,75,Reptilia,Squamata,Lacertidae,Zootoca vivipara,10.56900565,10.56900565
R252,NA,NA,Reptilia,Squamata,Colubridae,Eirenis coronelloides,7.240895486,7.240895486
