Species,Order,Family,id
Phylloscopus sindianus lorenzii,Passeriformes,Phylloscopidae,B366
Phylloscopus bonelli,Passeriformes,Phylloscopidae,B367
Phylloscopus sibillatrix,Passeriformes,Phylloscopidae,B368
Phylloscopus inornatus,Passeriformes,Phylloscopidae,B369
Phylloscopus borealis,Passeriformes,Phylloscopidae,B370
Phylloscopus trochiloides,Passeriformes,Phylloscopidae,B371
Phoenicurus ochruros,Passeriformes,Muscicapidae,B399
Phoenicurus phoenicurus,Passeriformes,Muscicapidae,B400
Circus macrourus,Accipitriformes,Accipitridae,B98
Lyrurus tetrix,Galliformes,Phasianidae,B127
Tetrastes bonasia,Galliformes,Phasianidae,B129
Alectoris graeca,Galliformes,Phasianidae,B132
Alectoris chukar,Galliformes,Phasianidae,B133
Alectoris barbara,Galliformes,Phasianidae,B134
Alectoris rufa,Galliformes,Phasianidae,B135
Ammoperdix griseogularis,Galliformes,Phasianidae,B136
Francolinus francolinus,Galliformes,Phasianidae,B137
Coturnix coturnix,Galliformes,Phasianidae,B139
Asio flammeus,Strigiformes,Strigidae,B267
Circus pygargus,Accipitriformes,Accipitridae,B99
Accipiter brevipes,Accipitriformes,Accipitridae,B100
Merops superciliosus,Coraciiformes,Meropidae,B279
Merops apiaster,Coraciiformes,Meropidae,B280
Aegithalos caudatus,Passeriformes,Aegithalidae,B413
Poecile lugubris,Passeriformes,Paridae,B414
Poecile palustris,Passeriformes,Paridae,B415
Poecile montanus,Passeriformes,Paridae,B416
Poecile cinctus,Passeriformes,Paridae,B417
Periparus ater,Passeriformes,Paridae,B418
Parus major,Passeriformes,Paridae,B420
Cyanistes caeruleus,Passeriformes,Paridae,B421
Nyctalus noctula,Chiroptera,Vespertilionidae,M198
Accipiter nisus,Accipitriformes,Accipitridae,B101
Falco tinnunculus,Falconiformes,Falconidae,B115
Upupa epops,Bucerotiformes,Upupidae,B282
Jynx torquilla,Piciformes,Picidae,B283
Bombycilla garrulus,Passeriformes,Bombycillidae,B325
Prunella montanella,Passeriformes,Prunellidae,B329
Prunella ocularis,Passeriformes,Prunellidae,B330
Prunella atrogularis,Passeriformes,Prunellidae,B331
Prunella modularis,Passeriformes,Prunellidae,B332
Muscicapa striata,Passeriformes,Muscicapidae,B386
Ficedula hypoleuca,Passeriformes,Muscicapidae,B387
Ficedula albicollis,Passeriformes,Muscicapidae,B388
Ficedula semitorquata,Passeriformes,Muscicapidae,B389
Ficedula parva,Passeriformes,Muscicapidae,B390
Erithacus rubecula,Passeriformes,Muscicapidae,B391
Luscinia luscinia,Passeriformes,Muscicapidae,B392
Luscinia megarhynchos,Passeriformes,Muscicapidae,B393
Luscinia calliope,Passeriformes,Muscicapidae,B394
Luscinia svecica,Passeriformes,Muscicapidae,B395
Tarsiger cyanurus,Passeriformes,Muscicapidae,B396
Irania gutturalis,Passeriformes,Muscicapidae,B397
Erythropygia galactotes,Passeriformes,Muscicapidae,B398
Oenanthe leucura,Passeriformes,Muscicapidae,B403
Oenanthe oenanthe,Passeriformes,Muscicapidae,B404
Oenanthe finschii,Passeriformes,Muscicapidae,B405
Oenanthe pleschanka,Passeriformes,Muscicapidae,B406
Oenanthe hispanica,Passeriformes,Muscicapidae,B407
Oenanthe chrysopygia,Passeriformes,Muscicapidae,B408
Oenanthe deserti,Passeriformes,Muscicapidae,B409
Oenanthe cypriaca,Passeriformes,Muscicapidae,B410
Oenanthe isabellina,Passeriformes,Muscicapidae,B411
Lophophanes cristatus,Passeriformes,Paridae,B419
Cyanistes cyanus,Passeriformes,Paridae,B422
Certhia familiaris,Passeriformes,Certhiidae,B429
Certhia brachydactyla,Passeriformes,Certhiidae,B430
Garrulus glandarius,Passeriformes,Corvidae,B440
Fringilla montifringilla,Passeriformes,Fringillidae,B472
Pinicola enucleator,Passeriformes,Fringillidae,B473
Loxia pytyopsittacus,Passeriformes,Fringillidae,B476
Loxia scotica,Passeriformes,Fringillidae,B477
Loxia curvirostra,Passeriformes,Fringillidae,B478
Loxia leucoptera,Passeriformes,Fringillidae,B479
Pyrrhula pyrrhula,Passeriformes,Fringillidae,B491
Pyrrhula murina,Passeriformes,Fringillidae,B492
Bucanetes githagineus,Passeriformes,Fringillidae,B495
Bucanetes mongolicus,Passeriformes,Fringillidae,B496
Gymnoris xanthocollis,Passeriformes,Passeridae,B503
Montifringilla nivalis,Passeriformes,Passeridae,B506
Fringilla teydea,Passeriformes,Fringillidae,B510
Eptesicus nilssonii,Chiroptera,Vespertilionidae,M73
Eptesicus serotinus,Chiroptera,Vespertilionidae,M74
Sciurus anomalus,Rodentia,Sciuridae,M234
Accipiter gentilis,Accipitriformes,Accipitridae,B102
Falco vespertinus,Falconiformes,Falconidae,B116
Falco columbarius,Falconiformes,Falconidae,B118
Falco subbuteo,Falconiformes,Falconidae,B119
Falco biarmicus,Falconiformes,Falconidae,B120
Falco peregrinus,Falconiformes,Falconidae,B123
Tetrao urogallus,Galliformes,Phasianidae,B126
Lyrurus mlokosiewiczi,Galliformes,Phasianidae,B128
Tetraogallus caucasicus,Galliformes,Phasianidae,B130
Tetraogallus caspius,Galliformes,Phasianidae,B131
Tetrax tetrax,Otidiformes,Otididae,B154
Burhinus oedicnemus,Charadriiformes,Burhinidae,B158
Glareola pratincola,Charadriiformes,Glareolidae,B159
Glareola nordmanni,Charadriiformes,Glareolidae,B160
Vanellus spinosus,Charadriiformes,Charadriidae,B162
Vanellus indicus,Charadriiformes,Charadriidae,B163
Vanellus leucurus,Charadriiformes,Charadriidae,B165
Pluvialis apricaria,Charadriiformes,Charadriidae,B166
Charadrius hiaticula,Charadriiformes,Charadriidae,B168
Charadrius dubius,Charadriiformes,Charadriidae,B169
Charadrius alexandrinus,Charadriiformes,Charadriidae,B170
Charadrius leschenaultii,Charadriiformes,Charadriidae,B171
Charadrius asiaticus,Charadriiformes,Charadriidae,B172
Charadrius morinellus,Charadriiformes,Charadriidae,B173
Columba trocaz,Columbiformes,Columbidae,B247
Clamator glandarius,Cuculiformes,Cuculidae,B251
Cuculus canorus,Cuculiformes,Cuculidae,B252
Cuculus saturatus,Cuculiformes,Cuculidae,B253
Tyto alba,Strigiformes,Tytonidae,B254
Otus brucei,Strigiformes,Strigidae,B255
Otus scops,Strigiformes,Strigidae,B256
Strix aluco,Strigiformes,Strigidae,B259
Surnia ulula,Strigiformes,Strigidae,B262
Glaucidium passerinum,Strigiformes,Strigidae,B263
Athene noctua,Strigiformes,Strigidae,B264
Aegolius funereus,Strigiformes,Strigidae,B265
Asio otus,Strigiformes,Strigidae,B266
Dendrocopos minor,Piciformes,Picidae,B284
Dendrocopos medius,Piciformes,Picidae,B285
Dendrocopos major,Piciformes,Picidae,B287
Dendrocopos syriacus,Piciformes,Picidae,B288
Picoides tridactylus,Piciformes,Picidae,B289
Dryocopus martius,Piciformes,Picidae,B290
Picus viridis,Piciformes,Picidae,B291
Picus canus,Piciformes,Picidae,B292
Perisoreus infaustus,Passeriformes,Corvidae,B439
Pica pica,Passeriformes,Corvidae,B442
Nucifraga caryocatactes,Passeriformes,Corvidae,B443
Pyrrhocorax pyrrhocorax,Passeriformes,Corvidae,B444
Pyrrhocorax graculus,Passeriformes,Corvidae,B445
Corvus frugilegus,Passeriformes,Corvidae,B447
Corvus corax,Passeriformes,Corvidae,B449
Columba bollii,Columbiformes,Columbidae,B508
Columba junoniae,Columbiformes,Columbidae,B509
Cursorius cursor,Charadriiformes,Glareolidae,B516
Pteromys volans,Rodentia,Sciuridae,M218
Buteo buteo,Accipitriformes,Accipitridae,B103
Muscardinus avellanarius,Rodentia,Gliridae,M162
Tamias sibiricus,Rodentia,Sciuridae,M288
Montivipera raddei,Squamata,Viperidae,R151
Montivipera wagneri,Squamata,Viperidae,R152
Montivipera xanthina,Squamata,Viperidae,R153
Montivipera albizona,Squamata,Viperidae,R205
Montivipera bulgardaghica,Squamata,Viperidae,R209
Pseudocerastes persicus,Squamata,Viperidae,R247
Buteo rufinus,Accipitriformes,Accipitridae,B104
Mustela erminea,Carnivora,Mustelidae,M163
Mustela eversmanii,Carnivora,Mustelidae,M164
Mustela lutreola,Carnivora,Mustelidae,M165
Mustela putorius,Carnivora,Mustelidae,M167
Mustela sibirica,Carnivora,Mustelidae,M168
Paralaudakia caucasia,Squamata,Agamidae,R138
Stellagama stellio,Squamata,Agamidae,R139
Phrynocephalus guttatus,Squamata,Agamidae,R159
Phrynocephalus helioscopus,Squamata,Agamidae,R160
Phrynocephalus mystaceus,Squamata,Agamidae,R161
Phrynocephalus persicus,Squamata,Agamidae,R162
Trapelus lessonae,Squamata,Agamidae,R201
Buteo lagopus,Accipitriformes,Accipitridae,B105
Aquila pomarina,Accipitriformes,Accipitridae,B106
Gloydius intermedius,Squamata,Viperidae,R100
Macrovipera lebetina,Squamata,Viperidae,R145
Macrovipera schweizeri,Squamata,Viperidae,R146
Aquila clanga,Accipitriformes,Accipitridae,B107
Aquila nipalensis,Accipitriformes,Accipitridae,B108
Aquila adalberti,Accipitriformes,Accipitridae,B109
Oceanodroma leucorhoa,Procellariiformes,Hydrobatidae,B21
Oceanodroma castro,Procellariiformes,Hydrobatidae,B22
Pterocles alchata,Pteroclidiformes,Pteroclididae,B242
Pterocles orientalis,Pteroclidiformes,Pteroclididae,B243
Eliomys quercinus,Rodentia,Gliridae,M68
Felis silvestris,Carnivora,Felidae,M80
Herpestes ichneumon,Carnivora,Herpestidae,M88
Meles meles,Carnivora,Mustelidae,M114
Vulpes vulpes,Carnivora,Canidae,M295
Aquila heliaca,Accipitriformes,Accipitridae,B110
Falco naumanni,Falconiformes,Falconidae,B114
Anthropoides virgo,Gruiformes,Gruidae,B142
Grus grus,Gruiformes,Gruidae,B143
Spalax leucodon,Rodentia,Spalacidae,M263
Aquila chrysaetos,Accipitriformes,Accipitridae,B111
Alopex lagopus,Carnivora,Canidae,M11
Canis aureus,Carnivora,Canidae,M30
Dryomys laniger,Rodentia,Gliridae,M65
Dryomys nitedula,Rodentia,Gliridae,M66
Eliomys melanurus,Rodentia,Gliridae,M67
Felis chaus,Carnivora,Felidae,M78
Felis margarita,Carnivora,Felidae,M79
Genetta genetta,Carnivora,Viverridae,M83
Glis glis,Rodentia,Gliridae,M85
Martes foina,Carnivora,Mustelidae,M110
Martes martes,Carnivora,Mustelidae,M111
Martes zibellina,Carnivora,Mustelidae,M112
Myomimus roachi,Rodentia,Gliridae,M172
Myomimus setzeri,Rodentia,Gliridae,M173
Spalax arenarius,Rodentia,Spalacidae,M259
Spalax ehrenbergi,Rodentia,Spalacidae,M260
Spalax giganteus,Rodentia,Spalacidae,M261
Spalax graecus,Rodentia,Spalacidae,M262
Spalax microphthalmus,Rodentia,Spalacidae,M264
Spalax nehringi,Rodentia,Spalacidae,M265
Spalax uralensis,Rodentia,Spalacidae,M266
Spalax zemni,Rodentia,Spalacidae,M267
Vulpes corsac,Carnivora,Canidae,M294
Aquila fasciata,Accipitriformes,Accipitridae,B112
Turnix sylvaticus,Charadriiformes,Turnicidae,B141
Monticola saxatilis,Passeriformes,Muscicapidae,B333
Monticola solitarius,Passeriformes,Muscicapidae,B334
Hieraaetus pennatus,Accipitriformes,Accipitridae,B113
Lanius excubitor,Passeriformes,Laniidae,B434
Blanus cinereus,Squamata,Blanidae,R17
Apus apus,Apodiformes,Apodidae,B271
Plecotus auritus,Chiroptera,Vespertilionidae,M211
Tadarida teniotis,Chiroptera,Molossidae,M279
Falco eleonorae,Falconiformes,Falconidae,B117
Apus melba,Apodiformes,Apodidae,B270
Apus pallidus,Apodiformes,Apodidae,B273
Riparia riparia,Passeriformes,Hirundinidae,B305
Cecropis daurica,Passeriformes,Hirundinidae,B308
Delichon urbicum,Passeriformes,Hirundinidae,B309
Regulus regulus,Passeriformes,Regulidae,B323
Regulus ignicapilla,Passeriformes,Regulidae,B324
Prunella collaris,Passeriformes,Prunellidae,B328
Oriolus oriolus,Passeriformes,Oriolidae,B432
Lanius collurio,Passeriformes,Laniidae,B433
Lanius minor,Passeriformes,Laniidae,B436
Lanius senator,Passeriformes,Laniidae,B438
Ptyonoprogne rupestris,Passeriformes,Hirundinidae,B306
Pycnonotus xanthopygos,Passeriformes,Pycnonotidae,B322
Sitta europaea,Passeriformes,Sittidae,B423
Sitta whiteheadi,Passeriformes,Sittidae,B424
Sitta krueperi,Passeriformes,Sittidae,B425
Sitta neumayer,Passeriformes,Sittidae,B426
Sitta tephronota,Passeriformes,Sittidae,B427
Tichodroma muraria,Passeriformes,Tichodromidae,B428
Remiz pendulinus,Passeriformes,Remizidae,B431
Myotis alcathoe,Chiroptera,Vespertilionidae,M175
Myotis aurascens,Chiroptera,Vespertilionidae,M176
Myotis bechsteinii,Chiroptera,Vespertilionidae,M177
Myotis blythii,Chiroptera,Vespertilionidae,M178
Myotis brandtii,Chiroptera,Vespertilionidae,M179
Myotis capaccinii,Chiroptera,Vespertilionidae,M180
Myotis dasycneme,Chiroptera,Vespertilionidae,M181
Myotis daubentonii,Chiroptera,Vespertilionidae,M182
Myotis emarginatus,Chiroptera,Vespertilionidae,M183
Myotis hajastanicus,Chiroptera,Vespertilionidae,M184
Myotis myotis,Chiroptera,Vespertilionidae,M185
Myotis mystacinus,Chiroptera,Vespertilionidae,M186
Myotis nattereri,Chiroptera,Vespertilionidae,M187
Myotis nipalensis,Chiroptera,Vespertilionidae,M188
Myotis punicus,Chiroptera,Vespertilionidae,M189
Myotis schaubi,Chiroptera,Vespertilionidae,M190
Caprimulgus ruficollis,Caprimulgiformes,Caprimulgidae,B268
Caprimulgus europaeus,Caprimulgiformes,Caprimulgidae,B269
Lanius meridionalis,Passeriformes,Laniidae,B435
Lanius nubicus,Passeriformes,Laniidae,B437
Barbastella barbastellus,Chiroptera,Vespertilionidae,M26
Falco cherrug,Falconiformes,Falconidae,B121
Chlamydotis undulata,Otidiformes,Otididae,B515
Falco rusticolus,Falconiformes,Falconidae,B122
Pipistrellus pipistrellus,Chiroptera,Vespertilionidae,M209
Lyciasalamandra antalyana,Caudata,Salamandridae,A26
Lyciasalamandra atifi,Caudata,Salamandridae,A27
Lyciasalamandra billae,Caudata,Salamandridae,A28
Lyciasalamandra fazilae,Caudata,Salamandridae,A29
Lyciasalamandra flavimembris,Caudata,Salamandridae,A30
Lyciasalamandra helverseni,Caudata,Salamandridae,A31
Lyciasalamandra luschani,Caudata,Salamandridae,A32
Mertensiella caucasica,Caudata,Salamandridae,A33
Neurergus crocatus,Caudata,Salamandridae,A34
Neurergus strauchii,Caudata,Salamandridae,A35
Salamandrella keyserlingii,Caudata,Hynobiidae,A72
Blanus strauchi,Squamata,Blanidae,R18
Otis tarda,Otidiformes,Otididae,B153
Proteus anguinus,Caudata,Proteidae,A43
Speleomantes ambrosii,Caudata,Plethodontidae,A75
Speleomantes flavus,Caudata,Plethodontidae,A76
Speleomantes genei,Caudata,Plethodontidae,A77
Speleomantes imperialis,Caudata,Plethodontidae,A78
Speleomantes italicus,Caudata,Plethodontidae,A79
Speleomantes sarrabusensis,Caudata,Plethodontidae,A80
Speleomantes strinatii,Caudata,Plethodontidae,A81
Speleomantes supramontis,Caudata,Plethodontidae,A82
Puffinus puffinus,Procellariiformes,Procellariidae,B15
Hydrobates pelagicus,Procellariiformes,Hydrobatidae,B20
Hydroprogne caspia,Charadriiformes,Laridae,B225
Thalasseus bengalensis,Charadriiformes,Laridae,B226
Sterna dougallii,Charadriiformes,Laridae,B228
Sterna paradisaea,Charadriiformes,Laridae,B230
Onychoprion fuscatus,Charadriiformes,Laridae,B232
Apus affinis,Apodiformes,Apodidae,B274
Apus caffer,Apodiformes,Apodidae,B275
Apus unicolor,Apodiformes,Apodidae,B272
Nyctalus leisleri,Chiroptera,Vespertilionidae,M197
Pipistrellus kuhlii,Chiroptera,Vespertilionidae,M206
Pipistrellus nathusii,Chiroptera,Vespertilionidae,M208
Plecotus austriacus,Chiroptera,Vespertilionidae,M212
Rhinolophus ferrumequinum,Chiroptera,Rhinolophidae,M226
Eptesicus gobiensis bobrinskoi,Chiroptera,Vespertilionidae,M71
Eptesicus bottae,Chiroptera,Vespertilionidae,M72
Hypsugo savii,Chiroptera,Vespertilionidae,M90
Miniopterus schreibersii,Chiroptera,Miniopteridae,M156
Nyctalus azoreum,Chiroptera,Vespertilionidae,M195
Nyctalus lasiopterus,Chiroptera,Vespertilionidae,M196
Pipistrellus maderensis,Chiroptera,Vespertilionidae,M207
Pipistrellus pygmaeus,Chiroptera,Vespertilionidae,M210
Plecotus kolombatovici,Chiroptera,Vespertilionidae,M213
Plecotus macrobullaris,Chiroptera,Vespertilionidae,M214
Plecotus sardus,Chiroptera,Vespertilionidae,M215
Plecotus teneriffae,Chiroptera,Vespertilionidae,M216
Rhinolophus blasii,Chiroptera,Rhinolophidae,M224
Rhinolophus euryale,Chiroptera,Rhinolophidae,M225
Rhinolophus hipposideros,Chiroptera,Rhinolophidae,M227
Rhinolophus mehelyi,Chiroptera,Rhinolophidae,M228
Rousettus aegyptiacus,Chiroptera,Pteropodidae,M230
Vespertilio murinus,Chiroptera,Vespertilionidae,M292
Barbastella leucomelas,Chiroptera,Vespertilionidae,M27
Miniopterus schreibersii fuliginosus,Chiroptera,Miniopteridae,M155
Bubo bubo,Strigiformes,Strigidae,B257
Bubo scandiacus,Strigiformes,Strigidae,B258
Strix uralensis,Strigiformes,Strigidae,B260
Strix nebulosa,Strigiformes,Strigidae,B261
Halcyon smyrnensis,Coraciiformes,Alcedinidae,B277
Xerotyphlops vermicularis,Squamata,Typhlopidae,R203
Letheobia episcopus,Squamata,Typhlopidae,R248
Puffinus yelkouan,Procellariiformes,Procellariidae,B16
Pelecanus onocrotalus,Pelecaniformes,Pelecanidae,B28
Pelecanus crispus,Pelecaniformes,Pelecanidae,B29
Alcedo atthis,Coraciiformes,Alcedinidae,B276
Ceryle rudis,Coraciiformes,Alcedinidae,B278
Hystrix indica,Rodentia,Hystricidae,M92
Lutra lutra,Carnivora,Mustelidae,M103
Felis manul,Carnivora,Felidae,M202
Vormela peregusna,Carnivora,Mustelidae,M293
Eryx jaculus,Squamata,Boidae,R88
Eryx miliaris,Squamata,Boidae,R89
Varanus griseus,Squamata,Varanidae,R204
Canis lupus,Carnivora,Canidae,M31
Alces alces,Artiodactyla,Cervidae,M4
Bison bonasus,Artiodactyla,Bovidae,M28
Capra hircus aegagrus,Artiodactyla,Bovidae,M32
Capra caucasica,Artiodactyla,Bovidae,M33
Capra caucasica cylindricornis,Artiodactyla,Bovidae,M34
Capra ibex,Artiodactyla,Bovidae,M36
Capra pyrenaica,Artiodactyla,Bovidae,M37
Capreolus capreolus,Artiodactyla,Cervidae,M38
Capreolus pygargus,Artiodactyla,Cervidae,M39
Cervus elaphus,Artiodactyla,Cervidae,M41
Dama dama,Artiodactyla,Cervidae,M59
Gazella subgutturosa,Artiodactyla,Bovidae,M82
Hystrix cristata,Rodentia,Hystricidae,M91
Meles leucurus,Carnivora,Mustelidae,M113
Ovis aries orientalis,Artiodactyla,Bovidae,M204
Rangifer tarandus,Artiodactyla,Cervidae,M221
Rupicapra pyrenaica,Artiodactyla,Bovidae,M231
Rupicapra rupicapra,Artiodactyla,Bovidae,M232
Saiga tatarica,Artiodactyla,Bovidae,M233
Sus scrofa,Artiodactyla,Suidae,M278
Gulo gulo,Carnivora,Mustelidae,M86
Hyaena hyaena,Carnivora,Hyaenidae,M89
Lynx lynx,Carnivora,Felidae,M104
Lynx pardinus,Carnivora,Felidae,M105
Myriopholis macrorhyncha,Squamata,Leptotyphlopidae,R140
Panthera pardus,Carnivora,Felidae,M205
Ovis aries,Artiodactyla,Bovidae,M203
Ursus arctos,Carnivora,Ursidae,M290
Ursus maritimus,Carnivora,Ursidae,M291
Cinclus cinclus,Passeriformes,Cinclidae,B326
